task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
correct_errors,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,للَّهِ ما أعْلَقَ الهوى بِي,0.0967741935483871,31,27,-4
correct_errors,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ,1.0,26,26,0
correct_errors,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,1.0,38,38,0
correct_errors,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,يَلتَقِطُ البُلبلُ قُوتَ يَومِهِ,0.12903225806451613,31,32,1
correct_errors,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"مثال على الأخطاء التي يمكن أن تكون في البيت:

أخطاء إملائية:

أخطاء نحوية:

أخطاء صرفية:

أخطاء في التشكيل:",0.0,1,107,106
correct_errors,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ

أحسنت، هذا هو التصحيح المطلوب.",1.0,29,61,32
correct_errors,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ",1.0,49,100,51
correct_errors,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"عانيت حبك في أقصى مراحِلِهِ

أحسنت، لا يوجد أخطاء في البيت.",1.0,27,59,32
correct_errors,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قَد كادَ هَذا الفَخُّ أَن يَعقِرَا

البيت بعد التصحيح:
قَد كادَ هَذا الفَخُّ أَن يَعقِرَا",0.9696969696969697,33,89,56
correct_errors,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه",1.0,32,100,68
correct_errors,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,لاحَ العذارُ فخلتُ ليلةَ قدرِهِ,0.5625,32,31,-1
correct_errors,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,لا إله إلا الله لا إله إلا الله,1.0,31,31,0
correct_errors,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,1.0,40,40,0
correct_errors,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"ماذا لو اتفق الوصال مع الأذى

البيت بعد التصحيح:
ماذا لو اتفق الوصال مع الأذى",1.0,28,77,49
correct_errors,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,أنا فيما أبديته من مقال,1.0,23,23,0
correct_errors,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنين

البيت بعد التصحيح:
قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنين

ملاحظة: لا توجد أخطاء في البيت الأصلي.",0.9743589743589743,39,137,98
correct_errors,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر

البيت بعد التصحيح:
هــل الـهـوى بـين البـشـر -- بـين البـشـر",1.0,43,105,62
correct_errors,74142,,أمين خير الله,ترى فردهم حينما وقفا,ترى فردهم حينما وقفا,1.0,20,20,0
correct_errors,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,نــح ذكــرى الهـوى وعـهـد الغـرام,1.0,33,33,0
correct_errors,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,1.0,36,36,0
correct_errors,89507,,طانيوس عبده,أوصــي بــكـل قـريـحـتـي لجـهـنـم,أوصي بكل قريحتي لجهنم,0.09090909090909091,33,21,-12
correct_errors,43248,إذا أن شارفت الديار تحدثت,أسامة بن منقذ,إذا أن شارفت الديار تحدثت,إذا أن شارفت الديار تحدثت,1.0,25,25,0
correct_errors,53709,في الساحة الخالية,محمود درويش,ساحة خالية . ذباب وظهيرة وشجرة,"ساحة خالية من الذباب وظهيرة وشجرة

أحسنت، لقد قمت بتصحيح الأخطاء في البيت الشعري.",0.36666666666666664,30,81,51
correct_errors,62380,وكأن غلي دنانهم في دورهم,بشار بن برد,وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم,وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم,1.0,36,36,0
correct_errors,152633,,ابن الحريش الأصفهاني,نـظـرنـا فـمـن قـلبٍ تـضـرم وقده,نـظـرنـا فـمـن قـلبٍ تـضـرم وقده,1.0,32,32,0
correct_errors,125266,,علي الغراب الصفاقسي,لئن ظـهـرت بالجسم منك طوالعُ,"لئن ظـهـرت بالجسم منك طوالعُ

البيت بعد التصحيح:
لئن ظهرت بالجسم منك طوالعُ",1.0,28,75,47
correct_errors,112522,,محمد صالح محيي الدين,أتــتــك تـهـادى بـاسـمـات ثـغـورهـا,"أتــتــك تـهـادى بـاسـمـات ثـغـورهـا

البيت بعد التصحيح:
أتتك تهدى باسمات ثغورها",1.0,36,80,44
correct_errors,169724,هذه الموجة من هذا الخضم,إدريس محمد جماع,هذه الموجة من هذا الخضم,"هذه الموجة من هذا الخضم

هذه الموجة من هذا الخضم",1.0,23,48,25
correct_errors,215180,شرديني,فائق عبد الجليل,شرديني ... اتبعيني,"شرديني ... اتبعيني

شرديني ... اتبعيني

شرديني ... اتبعيني

شرديني ... اتبعيني

شرديني ... اتبعيني

شرديني ... اتبعيني

شرديني ... اتبعيني

شرديني ... اتبعيني

شرديني",1.0,18,166,148
correct_errors,72223,,صالح مجدي,هَــذا كـتـاب بِهِ فـي بـابـه كُـشـفـت,"هَــذا كـتـاب بـه فـي بـابه كُـشـفـت

البيت بعد التصحيح:
هَــذا كـتـاب بـه فـي بـابه كُـشـفـت",0.47368421052631576,38,93,55
correct_errors,240941,تَعليــق عَلى اتِّفاقِيــة,عبدالعزيز جويدة,"""غَزَّة .. أرِيحَا""","""غَزَّة .. أرِيحَا""

البيت بعد التصحيح:
""غَزَّة .. أرِيحَا""",1.0,19,59,40
correct_errors,195556,بين الأحبة والبدر,محمد مهدي الجواهري,لئن شكر الصبح المحبون إنني,لئن شكر الصبح المحبون إنني,1.0,26,26,0
correct_errors,228428,بَيْني وبَينكَ لمْ يَزَلْ مَدَدٌ,محمد إسماعيل سلامة,بَيْني وبَينكَ لَمْ يَزَلْ مَدَدٌ,بَيْني وبَينكَ لَمْ يَزَلْ مَدَدٌ,1.0,33,33,0
correct_errors,172776,وجه القدر,أشرف الخضرى,مفتتح,"مفتتح

مفتتح
مفتتح
مفتتح",1.0,5,24,19
correct_errors,118211,,ابن زقاعة,فإن كنت قد أصبحت في الحسن كعبة ,فإن كنت قد أصبحت في الحسن كعبة,0.967741935483871,31,30,-1
correct_errors,231923,وقف العتاة امام شعري فادعوا,ميخائيل خير الله ويردي,وَقَفَ العُتاةُ أَمامَ شِعري فَادَّعَوا,"وَقَفَ العُتاةُ أَمامَ شِعري فَادَّعَوا

البيت بعد التصحيح:
وَقَفَ العُتَاةُ أَمامَ شِعْرِي فَادَّعَوْا

البيت بعد التصحيح:
وَقَفَ العُتَاةُ أَمامَ شِعْرِي فَادَّعَوْا

ال",1.0,39,171,132
correct_errors,127254,,علي بن حجر السعدي,أحـن إلى عـتـابـك غـيـر أني  ,أحـن إلى عـتـابـك غـيـر أني,0.9310344827586207,29,27,-2
correct_errors,134090,,علاء الدين اليشكري,أحــــن شـــوقـــاً والنـــيـــاق رزَّمُ ,"أحــــن شـــوقـــاً والنـــيـــاق رزَّمُ

البيت بعد التصحيح:
أحنُّ شوقاً والنيَّاقُ رزَّمُ",0.975609756097561,41,90,49
correct_errors,140153,,صالح البدري,شـمـعتي شمعتي لك الفخر طبعا,شـمـعتي لك الفخر طبعا,0.3333333333333333,27,21,-6
correct_errors,19246,يا سيدي هنئت عيدا أتى,ابن نباته المصري,يا سيِّدي هنئتَ عيداً أتى,"يا سيِّدي هنئتَ عيداً أتى

البيت بعد التصحيح:
يا سيِّدي هنئتَ بالعيدِ أتى

الشرح:
تم تصحيح الأخطاء النحوية والإملائية في كلمة ""عيداً"" لتصبح ""بالعيدِ""، مع الحفاظ على نفس الوزن والمعنى.",1.0,25,183,158
correct_errors,189030,هدوء الليل,هالة ادريس,هُدوءُ اللَّيْلِ يُنْكرُهُ حَنِينِي,"هُدوءُ اللَّيْلِ يُنْكرُهُ حَنِينِي

البيت بعد التصحيح:
هُدوءُ اللَّيْلِ يُنْكِرُهُ حَنِينِي",1.0,35,92,57
correct_errors,93314,,أشجَع السَلمي,وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلٌ,وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلٌ,1.0,47,47,0
correct_errors,142247,,حمدون بن الحاج السلمي,كَم لِي أوَارِي فِي الهَوَى,"كَم لِي أوَارِي فِي الهَوَى

اكتب البيت بعد التصحيح، في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنصيص:

كَم لِي أوَارِي فِي الهَوَى",1.0,27,136,109
correct_errors,78551,,الخطيب الحصكفي,حـاسِـرٌ بالليلِ حافِ,حـاسِـرٌ بالليلِ حافِ,1.0,21,21,0
correct_errors,89651,,ابن رشيق القيرواني,وَمُكْتَحِلِ الجُفُونِ سَطا عَلَيْنا,"مُكْتَحِلِ الجُفُونِ سَطا عَلَيْنا

البيت بعد التصحيح:
مُكْتَحِلِ الجُفُونِ سَطا عَلَيْنا

ملاحظة:
البيت الأصلي يحتوي على خطأ في التشكيل فقط، وهو أن كلمة ""مُكْتَحِلِ"" يجب أن تكون ""مُكْتَحِلٍ"" بال",0.08333333333333333,36,195,159
correct_errors,182074,مستحي ( رباعيات مصر المحروسة ),جمال مرسي,مستحيل,مستحيل,1.0,6,6,0
correct_errors,135317,,صالح التميمي,كـل بـدعـواه فـيه ينتهي الجود,كـل بـدعـواه فـيه ينتهي الجود,1.0,29,29,0
correct_errors,66060,هذا الكثير الواحد,عبد الغني النابلسي,هذا الكثير الواحدُ,هذا الكثير الواحدُ,1.0,18,18,0
correct_errors,151683,,حنا الأسعد,بُليتُ بقاسي القلب لا يحفظ العهدا,"بليتُ بقاسٍ القلب لا يحفظ العهدَا

بهذا الشكل، يكون البيت المصحح قد حافظ على نفس الألفاظ والمعنى والوزن قدر الإمكان.",0.06060606060606061,33,116,83
correct_errors,196356,أيام آدم,علي جعفر العلاق,أمن ضوء تفاحة,"أمن ضوء تفاحة

أرجو أن تكون الأخطاء واضحة في البيت الأصلي.",1.0,13,58,45
