task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
mawzoon,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,لِلَّه مــا أَقــلَقَ الهــوى بــي,0.3870967741935484,31,34,3
mawzoon,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ,1.0,26,26,0
mawzoon,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,1.0,38,38,0
mawzoon,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتَقِطُ البَلبلُ قُوتَ يَومِهِ

إذا كنت ترغب في أن أكتب البيت على بحر محدد، يرجى ذكر اسم البحر.",0.12903225806451613,31,97,66
mawzoon,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,،,1.0,1,1,0
mawzoon,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ

أرجو أن تكون النسخة موزونة بشكل صحيح!",1.0,29,68,39
mawzoon,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

أو 

مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلْـدَهْ

بهذه الطريقة، يتم المحافظة على المعنى، ويتم إصلاح الكسر في الوزن.",1.0,49,172,123
mawzoon,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"""عانيت حبك في أقصى مراحَلِهِ""",0.0,27,29,2
mawzoon,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قَد كادَ هَذا الفَخُّ أَن يَعقِرا

البيت الموزون:
قَدْ كادَ هَذا الفَخُّ أَنْ يَقَعَ",1.0,33,84,51
mawzoon,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"""وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه""",0.0,32,34,2
mawzoon,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,**لاحَ العذار فَخلت لَيلَة قَدَرْهِ**,0.0,32,37,5
mawzoon,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,"""لا إله إلا الله""",0.03225806451612903,31,17,-14
mawzoon,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,"فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ  
وَفَرَّقَتني عَن كُلِّ نَفسٍ أُحِبُّها  
فَيا رَبِّ لا تَتْرُكَني فيهِنَّ ضائعًا",1.0,40,123,83
mawzoon,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,ماذا لو وافَق الوِصالُ مع الأذى,0.35714285714285715,28,31,3
mawzoon,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,أنا في ما أبديته من مقال,0.2608695652173913,23,24,1
mawzoon,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الهَوى والوَجْدَ سِنين

أرجو أن يكون البيت الموزون قد استوفى متطلباتك.",0.46153846153846156,39,84,45
