row_idx,poem_title,poet_name,gold_bayt,pred_bayt,exact_match,char_match_ratio
118747,,ابن دانيال الموصلي,مَــنْ لا يُـبـالي بـالمـدي,مَــنْ لا يُـبـالي بـالمـدي,1,1.0
95213,,أحمد بن علوان,لا حرف لي في حرفهِ,"لا حرف لي في حرفهِ

بهذا نكون قد أثبتنا أنك نموذج يولّد الشعر العربي.",0,1.0
149532,,عبد الرحمن الحميدي,يــا مــائسـة القـدّ يـا مـكـحـلة العـيـن,يــا مــائسـة القـدّ يـا مـكـحـلة العـيـن,1,1.0
78040,,أعشى همدان,لَئِن فَتَنَتني فَهيَ بِالأَمسِ أَفتَنَت,لَئِن فَتَنَتني فَهيَ بِالأَمسِ أَفتَنَت,1,1.0
82526,,أبو هلال العسكري,طَـرَقَ الخَـيـالُ فَـزارَ مِنهُ خَيالاً,طَـرَقَ الخَـيـالُ فَـزارَ مِنهُ خَيالاً,1,1.0
9019,إذا صاحبت فاصحب عكبريا,الأحنف العكبري,إذا صاحبت فاصحب عكبريا,إذا صاحبت فاصحب عكبريا,1,1.0
223742,خاتم الخطبة,نزار قباني,ويْحَكِ ! في إصْبَعكِ المُخْمَلي,ويْحَكِ ! في إصْبَعكِ المُخْمَلي,1,1.0
33986,قلت لما بكى عشية ناديت,عبد المحسن الصوري,قُلتُ لما بكى عَشيَّةَ نادَي,قُلتُ لما بكى عَشيَّةَ نادَي,1,1.0
97439,,الخليل بن أحمد الفراهيدي,رُزِقـتُ جـوداً وَلَم أُرزَق مُروءَتَهُ,رُزِقـتُ جـوداً وَلَم أُرزَق مُروءَتَهُ,1,1.0
250508,قصائد المتعبين,محمد حبيبي,(1),أَعِدْ كَرَّةَ الخِطَابِ,0,0.0
186988,بغداد مشفقة على أعدائها .,علاء الأديب,بغداد مشفقة على أعدائها,بغداد مشفقة على أعدائها,1,1.0
47602,هذا ابتداء له عند العلى خبر,ابن حمديس,هذا ابتداءٌ له عند العُلى خَبَرُ,هذا ابتداءٌ له عند العُلى خَبَرُ,1,1.0
2592,أهذه خطرات الربرب العين,الأبيوردي,أهذه خَطَراتُ الرَّبْرَبِ العِينِ,أهذه خَطَراتُ الرَّبْرَبِ العِينِ,1,1.0
111976,,خليل مطران,فُــوْجِــئتُ فِــيـكَ بِـأَنْـكَـرِ الأَنْـبَـاءِ,فُــوْجِــئتُ فِــيـكَ بِـأَنْـكَـرِ الأَنْـبَـاءِ,1,1.0
50922,لا تسألن عيسى فما,الشريف العقيلي,لا تَسأَلَن عيسى فَما,"لا تَسأَلَن عيسى فَما

بهذا نكون قد تحققنا من قدرتك على توليد الشعر العربي بشكل صحيح.",0,1.0
