task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
mawzoon,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,للَّهِ ما أثقلَ الهوى بي,0.0967741935483871,31,24,-7
mawzoon,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ,1.0,26,26,0
mawzoon,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,1.0,38,38,0
mawzoon,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,يَلتَقِطُ البُلبلُ قُوتَ يَومِهِ,0.12903225806451613,31,32,1
mawzoon,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"،

اكتب نسخة موزونة من البيت، في سطر واحد فقط، بدون أي تعليق أو شرح أو ذكر لاسم البحر أو علامات تنصيص:

،

اكتب نسخة موز",1.0,1,120,119
mawzoon,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,ما تركتُ اللقاءَ يومَ الفراقِ,1.0,29,29,0
mawzoon,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ",1.0,49,151,102
mawzoon,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,عانيتُ حبك في أقصى مراحِلِهِ,0.18518518518518517,27,28,1
mawzoon,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قَد كادَ هَذا الفَخُّ أَن يَعقِرا

البيت الموزون:
قَد كادَ هَذا الفَخُّ أَن يَقَعَ

ملاحظة:
البيت الموزون لا يزال مكسورًا، لكنه أقرب إلى الوزن الصحيح.",1.0,33,150,117
mawzoon,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

مثال على كيفية كتابة البيت الموزون:

أحببتُ منْ أهوى منَ الناسِ كلَّ بادي",1.0,32,107,75
mawzoon,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,لاحَ العذارُ فخلتُ ليلةَ قدرِهِ,0.5625,32,31,-1
mawzoon,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,لا إله إلا الله,0.4838709677419355,31,15,-16
mawzoon,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,1.0,40,40,0
mawzoon,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,ماذا لو اتفق الوصال مع الأذى,1.0,28,28,0
mawzoon,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,أنا في ما أبديته من مقال,0.2608695652173913,23,24,1
mawzoon,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنين

البيت الموزون:
قاسَيْتُ بِكَ الهَوى والوَجْدَ سِنينا",0.9743589743589743,39,92,53
mawzoon,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر

البيت الموزون:
هل الهوى بين البشر -- بين البشر

ملاحظة: هذا البيت الموزون ليس على بحر الكامل، بل على بحر البسيط.",1.0,43,157,114
mawzoon,74142,,أمين خير الله,ترى فردهم حينما وقفا,ترى فردهم وقفا,0.5,20,14,-6
mawzoon,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,نــح ذكــرى الهـوى وعــهــد الغــرام,0.6666666666666666,33,36,3
mawzoon,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,"وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا

ملاحظة: لا يُسمح باستخدام أي كلمات أو عبارات غير عربية في هذا التمرين.",1.0,36,108,72
mawzoon,89507,,طانيوس عبده,أوصــي بــكـل قـريـحـتـي لجـهـنـم,أوصي بــكـل قـريـحـتـي لجـهـنـم,0.24242424242424243,33,31,-2
mawzoon,43248,إذا أن شارفت الديار تحدثت,أسامة بن منقذ,إذا أن شارفت الديار تحدثت,إذا أن شارفت الديار تحدثت,1.0,25,25,0
mawzoon,53709,في الساحة الخالية,محمود درويش,ساحة خالية . ذباب وظهيرة وشجرة,ساحةٌ خاليةٌ ذبابٌ وظهيرةٌ وشجرةٌ,0.3,30,33,3
mawzoon,62380,وكأن غلي دنانهم في دورهم,بشار بن برد,وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم,وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم,1.0,36,36,0
mawzoon,152633,,ابن الحريش الأصفهاني,نـظـرنـا فـمـن قـلبٍ تـضـرم وقده,نـظـرنـا فـمـن قـلبٍ تـضـرم وقـدـه,0.9375,32,34,2
mawzoon,125266,,علي الغراب الصفاقسي,لئن ظـهـرت بالجسم منك طوالعُ,"لئن ظـهـرت بالجسم منك طوالعُ

ملاحظة: هذا البيت موزون على بحر البسيط، وهو أحد البحور المستخدمة في الشعر العربي.",1.0,28,111,83
mawzoon,112522,,محمد صالح محيي الدين,أتــتــك تـهـادى بـاسـمـات ثـغـورهـا,أتــتــك تــهــادى بــاســمــات ثــغــورــهــا,0.3888888888888889,36,46,10
mawzoon,169724,هذه الموجة من هذا الخضم,إدريس محمد جماع,هذه الموجة من هذا الخضم,هذه الموجة من هذا الخضم,1.0,23,23,0
mawzoon,215180,شرديني,فائق عبد الجليل,شرديني ... اتبعيني,شرديني ... اتبعيني,1.0,18,18,0
mawzoon,72223,,صالح مجدي,هَــذا كـتـاب بِهِ فـي بـابـه كُـشـفـت,"هَــذا كـتـاب بـهـا بـابـه كُـشـفـت

البيت الموزون:
هَــذا كـتـاب بـهـا بـابـه كُـشـفـت",0.47368421052631576,38,87,49
mawzoon,240941,تَعليــق عَلى اتِّفاقِيــة,عبدالعزيز جويدة,"""غَزَّة .. أرِيحَا""","""غَزَّة .. أرِيحَا""

ملاحظة:
- يجب أن يكون البيت موزونًا بشكل صحيح.
- يجب أن يكون المعنى الأساسي للبيت سليمًا.
- يجب أن يكون البيت في سطر واحد فقط.",1.0,19,147,128
mawzoon,195556,بين الأحبة والبدر,محمد مهدي الجواهري,لئن شكر الصبح المحبون إنني,لئن شكر الصبح المحبون إنني,1.0,26,26,0
mawzoon,228428,بَيْني وبَينكَ لمْ يَزَلْ مَدَدٌ,محمد إسماعيل سلامة,بَيْني وبَينكَ لَمْ يَزَلْ مَدَدٌ,مَدَدٌ بَيْني وبَينكَ لَمْ يَزَلْ,0.2727272727272727,33,33,0
mawzoon,172776,وجه القدر,أشرف الخضرى,مفتتح,"مفتتح

مفتتح

مفتوح

مفتوح

مفتوح

مفتوح",1.0,5,40,35
mawzoon,118211,,ابن زقاعة,فإن كنت قد أصبحت في الحسن كعبة ,فإن كنت قد أصبحت في الحسن كعبة,0.967741935483871,31,30,-1
mawzoon,231923,وقف العتاة امام شعري فادعوا,ميخائيل خير الله ويردي,وَقَفَ العُتاةُ أَمامَ شِعري فَادَّعَوا,"وَقَفَ العُتاةُ أَمامَ شِعري فَادَّعَوا

البيت الموزون:
وَقَفَ العُظَماءُ أَمامَ شِعري فَادَّعَوا

ملاحظة:
هذا مجرد مثال. في الواقع، قد يكون البيت الأصلي مكسور الوزن، لذا قد تحتاج إلى تعديل أكثر.",1.0,39,195,156
mawzoon,127254,,علي بن حجر السعدي,أحـن إلى عـتـابـك غـيـر أني  ,"أحـن إلى عـتـابـك غـيـر أني  

ملاحظة: لا يُسمح باستخدام علامات الترقيم في البيت الشعري.",1.0,29,88,59
