task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
correct_errors,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,"للَّهِ ما أعْلَقَ الهوى بِي

ملاحظة: هذا البيت يحتوي على أخطاء في التشكيل فقط.",0.0967741935483871,31,78,47
correct_errors,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ,1.0,26,26,0
correct_errors,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,1.0,38,38,0
correct_errors,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتقِطُ البُلبلُ قُوتَ يَومِهِ

بعد التصحيح:
يَلتقِطُ البُلبلُ قُوتَ يَومِهِ

ثم أكتب الأخطاء التي وجدتها في البيت الأصلي، في سطر واحد، مع فصل كل خطأ بعلامة ""؛"" إذا كانت متعددة:

الأ",1.0,31,183,152
correct_errors,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,،,1.0,1,1,0
correct_errors,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,ما تركتُ اللقاءَ يومَ الفراقِ,1.0,29,29,0
correct_errors,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,1.0,49,49,0
correct_errors,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"صحّحتُ لك البيت، وهو كما يلي:
عانيتُ حبك في أقصى مراحله

ملاحظة: إذا قمت بتغيير الألفاظ أو الوزن بشكل كبير، لن يُحتسب ذلك ضمن التحديات.",0.1111111111111111,27,135,108
correct_errors,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,قَدْ كادَ هَذا الفَخُّ أَنْ يَعقِرَا,0.09090909090909091,33,36,3
correct_errors,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,1.0,32,32,0
correct_errors,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,لاَحَ العذار فخلت لَيلَة قَدْرِهِ,0.5,32,33,1
correct_errors,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,لا إله إلا الله لا إله إلا الله,1.0,31,31,0
correct_errors,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,1.0,40,40,0
correct_errors,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,ماذا لو اجتمع الوصال مع الأذى,0.32142857142857145,28,29,1
correct_errors,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,أنا فيما أبديته من مقال,1.0,23,23,0
correct_errors,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سَنينًا

بهذا الشكل، يمكننا تبادل تصحيح الأخطاء في الشعر العربي.",0.9487179487179487,39,97,58
correct_errors,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هــل الـهـوى بـيـن البـشـر -- بين البشر

بهذا الشكل، سيكون قد صححت الأخطاء وحافظت على الألفاظ والمعنى والوزن قدر الإمكان.",0.7209302325581395,43,121,78
correct_errors,74142,,أمين خير الله,ترى فردهم حينما وقفا,"ترى فردهم حينما وقفا

هل لديك بيت آخر لتصحيح؟",1.0,20,45,25
