task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
improve_style,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,"لِلَّه مــاأَعــلَقَ الهـوى بـي

البيت المحسّن:
لِلَّه مــاأَعــلَقَ الهـوى بـي

البيت الأصلي:
أنتِ الوردة التي تفتحت في روحي

أ",1.0,31,128,97
improve_style,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
ي",1.0,26,136,110
improve_style,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا

البيت المحسّن:
للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا

البيت الأصلي:
أَحْبُ",1.0,38,115,77
improve_style,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتَقطُ البُلْبلُ قُوتَهُ لليَومِ

البيت الأصلي:
يَتَجَسَّدُ الْحُبُّ فِي عَيْنَيْهِ

أعطني نسخة محسَّنة من البيت، مكتوبة في",0.3870967741935484,31,125,94
improve_style,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"،

البيت المحسّن:
،

البيت الأصلي:
،

أعطني نسخة محسَّنة من البيت، مكتوبة في سطر واحد فقط، بدون أي",1.0,1,98,97
improve_style,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ

البيت المحسّن:
ما تركتُ اللقاءَ يومَ الفراقِ

البيت الأصلي:
أنتِ من أضاءتِ قلبي بضوءِكِ

أعطني نسخة محسَّنة من البيت، مكت",1.0,29,152,123
improve_style,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــف",1.0,49,117,68
improve_style,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"عانيت حبك في أقصى مراحله.

البيت الأصلي:
أنتِ من أضاءتِ قلبي بضوءِكِ

أعطني نسخة محسَّنة من البيت، مكتوبة في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنص",0.8148148148148148,27,157,130
improve_style,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قَد كادَ هَذا الفَخُّ أَن يَعقِرا
قَد كادَ هَذا الفَخُّ أَن يَعقِرا
قَد كادَ هَذا الفَخُّ أَن يَعقِرا
قَد كادَ هَذا الفَخُّ أ",1.0,33,125,92
improve_style,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُهُ
أبيضَ بِلَّورِىِ لَوَنٍ تَخالُهُ
أبيضَ بِلَّورِىِ لَوَنٍ تَخالُهُ
أبيضَ",1.0,32,105,73
improve_style,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,"لاحَ العذار فَخلت لَيلَة قَدرِهِ
لاحَ العذار فَخلت لَيلَة قَدرِهِ
لاحَ العذار فَخلت لَيلَة قَدرِهِ
لاحَ العذار فَخلت",1.0,32,116,84
improve_style,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,"لا إله إلا الله، لا إله إلا الله.

البيت الأصلي:
لا إله إلا الله، لا إله إلا الله.

البيت المحسّن:
لا إله إلا الله، لا إله إلا الله.

البيت الأصلي:
لا إله إلا الله، لا إله إلا الله.",0.5161290322580645,31,181,150
improve_style,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,"يا رب، إن البين قد انحنى بسبب صروفه.

البيت الأصلي:
وَأَحْبَسَتْهُ أَحْبَاسُهُ فَأَسْكَنَتْهُ

أعطني نسخة محسَّنة من البيت، مكتوبة في سطر واحد فقط، بدون",0.05,40,152,112
improve_style,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"ماذا لو اتفق الوصال مع الأذى؟

البيت المحسّن:
ماذا لو اتفق الوصال مع الأذى؟

البيت الأصلي:
أنتِ من أضرمتِ النار في قلبي

أعطني نسخة محسَّنة من البيت، مكتوبة في سطر",1.0,28,163,135
improve_style,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,"أنا فيما أبديته من مقال
أنا فيما أبديته من مقال
أنا فيما أبديته من مقال
أنا فيما أبديته من مقال
أنا فيما أبديته من مقال
أنا فيما أبديته من مقال
أنا فيما أبديته من مقال",1.0,23,167,144
improve_style,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ
قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ
قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ
ق",1.0,39,121,82
improve_style,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هـل الـهـوى بـيـن البـشـر -- بـيـن البـشـر

البيت المحسّن:
هل الهوى بين البشر - بين البشر؟

البيت الأصلي:
أنتِ الـحـبّ، وأنا الـحـبّ،
أنتِ الـحـبّ",0.06976744186046512,43,146,103
improve_style,74142,,أمين خير الله,ترى فردهم حينما وقفا,"ترى فردهم عندما وقفوا.

البيت الأصلي:
أنت تجعلني أستمتع بالحب

أعطني نسخة محسَّنة من البيت، مكتوبة في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنصيص",0.8,20,152,132
improve_style,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,"نـحـن ذكـرى الهـوى وعـهـد الغـرام

البيت الأصلي:
أنتِ من أضاءتِ قلبي بضوء الحب

أعطني نسخة محسَّنة من البيت، مكتوبة في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنصي",0.8181818181818182,33,168,135
improve_style,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,"وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا

البيت المحسّن:
وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا

البيت الأصلي:
وَأَحْبَسَتْهُ بِالْحَبْس",1.0,36,130,94
