task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
improve_style,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,للهِ ما أَغْلى الهوى بِي,0.0967741935483871,31,24,-7
improve_style,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ,1.0,26,26,0
improve_style,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه ليلتنا إذ صاحباني بها,0.18421052631578946,38,27,-11
improve_style,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,بُلبلٌ يلتقطُ قُوتَ يَومهِ,0.06451612903225806,31,26,-5
improve_style,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"، , ,",1.0,1,5,4
improve_style,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ

إذا كان بإمكانك تحسين صياغة البيت بحيث يكون في سطر واحد، فلا بأس بذلك.

البيت المحسَّن:
تركتُ اللقاءَ يومَ الفراقِ",1.0,29,145,116
improve_style,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,موقفي في مصرف للمال,0.04081632653061224,49,19,-30
improve_style,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,عانيت حبك في أقصى مراحله,0.8148148148148148,27,24,-3
improve_style,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,قَد كادَ هَذا الفَخُّ أَن يُعثِرَ قَدماكَ,0.9090909090909091,33,41,8
improve_style,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,وأبيض بِلَّورِى لونٍ تَخالُه,0.15625,32,28,-4
improve_style,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,لاحَ العذارُ فخلت ليلةَ قدْرِه,0.53125,32,30,-2
improve_style,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,لاإلهإلاالله,0.06451612903225806,31,12,-19
improve_style,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,"فَأَصَابَ قَلْبِي فِي الهَوَى كُلُّ عَجِيبِ

بمعنى ""فَيا رَبِّ إِنَّ البَينَ أَنحَ""",0.075,40,83,43
improve_style,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"""ماذا لو اجتمعا الوصل والأذى؟""",0.17857142857142858,28,30,2
improve_style,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,ما أبديته من مقال,0.0,23,17,-6
improve_style,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الغَرامَ والوَجْدَ دُرُوباً

ملاحظة: هذا مجرد مثال، ولا أريد منك تقييم جودة الشعر أو تقديم نسخ مختلفة؛ فقط المطلوب هو تحسين الصياغة ضمن المعايير المذكورة.",0.8461538461538461,39,168,129
improve_style,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,هل الهوى بين البشر بين البشر,0.06976744186046512,43,28,-15
improve_style,74142,,أمين خير الله,ترى فردهم حينما وقفا,تَفَرَّدُوا فِي وَقْفِهِمْ حِينَ مَا وَقَفُوا,0.15,20,45,25
improve_style,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,"نــحــ ذــكــرى الهوى وعــهــد الغرام

البيت بعد التحسين:
نــحــ ذــكــرى الهوى وعــهــد الغرام

ممتاز!",0.21212121212121213,33,103,70
improve_style,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,1.0,36,36,0
