row_idx,question,sol1,sol2,sol3,sol4,gold_label_idx,pred_text,pred_label_idx,correct
1092,أيُّ سؤالٍ سيُساعد الطالب على تحديد تركيب المادة المجهولة؟,هل العينة دافئة أم باردة؟,ما هي قيمة العينة؟,هل تم ذوبان العينة من قبل؟,هل توصل العينة الكهرباء؟,3,د) هل توصل العينة,3,1
749,تغيرت أنواع الكائنات الحية على الأرض نتيجةً لزيادة مستويات الأوكسجين الجوي. ما هو العملية التي ساهمت في هذا التراكم من الأكسجين في الغلاف الجوي للأرض؟,الإنتاج الأيضي للميثان,إنتاج النترات من النتروجين غير العضوي,تحليل المواد الكيميائية في وجه الأكسجين لإطلاق الطاقة,تحويل الطاقة الضوئية إلى الطاقة الكيميائية الرابطة,3,د) تحويل الطاقة الضو,3,1
339,ما هي سرعة موجات الراديو مقارنة بسرعة موجات الأشعة تحت الحمراء؟,تسافر موجات الراديو بسرعة أكبر.,تسافر موجات الأشعة تحت الحمراء بسرعة أكبر.,تسافر كلاهما بنفس السرعة.,تختلف سرعة الموجة بترددها.,2,ج) تسافر كلاهما,2,1
681,تُستخدم الليزرات في الجراحة لـ,عمل قطوعات دقيقة.,إنارة ميدان العمليات الجراحية.,خياطة الجروح.,تعقيم الأدوات الجراحية.,0,أ) عمل قطوعات دقيقة,0,1
785,أي من هذه الأنشطة ستؤدي إلى تشكيل نوع مختلف من المواد؟,يتم ترك مسمار خارجًا حتى يصدأ.,تسقط زجاجة وتتشقق إلى قطع صغيرة.,يتم تمدد حزام مطاط حتى يُكسر.,يُحدّد القلم باتجاه حاد.,0,ج) يتم تمدد ح,2,0
736,ما التغيير الذي يؤدي إلى صنع مادة جديدة؟,صنع تمثال من الطين,كسر كأس شراب,سحق مكعبات الثلج,طهي البيض على الموقد,3,د) طهي البيض على,3,1
630,المرارة تخزن الصفراء، وهو سائل يساعد في هضم الدهون. أي نوع من الأطعمة التالية يجب تجنبها من قبل شخص تم إزالة المرارة؟,الفواكه,الحبوب,الجبن,الخضروات,2,"ج) الجبن

الشرح",2,1
801,وفقًا لتصنيف الخلايا، تُفرّق الخلايا الإلكترونية الحقيقية من الخلايا الحقيقية النووية. ما هو الميزة التي غالبًا ما تستخدم لتمييز الخلايا الإلكترونية الحقيقية عن الخلايا الحقيقية النووية؟,عمليات الحياة,اختلاف الحجم,أغشية البلازما,جزيئات الطاقة,1,د) جزيئات الطاقة,3,0
419,تتسبب التغييرات المفاجئة في الطقس في موقع معين بشكل أكبر في,وصول كتلة هوائية,زلزال شديد,مد عال,كسوف القمر,0,أ) وصول كتلة ه,0,1
747,ما هي الدراسة التي تحتاج لفترة مراقبة أطول؟,فقس بيض الدجاج,تلاشي الطلاء إلى لون أفتح,نضج التفاح على الشجرة,تأثير العوامل الجوية على الصخور حتى تتحول إلى حصى,3,د) تأثير العوامل الجوية,3,1
223,في أي مرحلة من دورة حياتها يقضي الفراشة معظم وقتها في تناول أوراق النبات؟,البالغ,البيضة,اليرقة,الشرنقة,2,"ج) اليرقة

الش",2,1
871,كيف يمكن لسجلات التحقيق أن تكون أكثر فائدة؟,توفر السجلات دلائل على الأخطاء التي تم ارتكابها في التحقيق.,تثبت السجلات أن التحقيق تم إجراؤه عدة مرات.,تستبعد السجلات الحاجة لتكرار التحقيق.,تجعل السجلات النتائج التي توصل إليها التحقيق دقيقة.,0,ج) تستبعد السجلات,2,0
816,يستخدم المهندس حاسوباً لتصميم جسر. ما هو الاختبار الأكثر أهمية لأغراض السلامة؟,أقصى حمولة يمكن للجسر دعمها,تكلفة المواد المستخدمة في بناء الجسر,نسبة المواد التي يمكن إعادة تدويرها,سرعة إنشاء الجسر,0,أ) أقصى حمولة,0,1
133,تزود التلفاز بعض المزايا، ما هو طريقة واحدة يساعد بها الناس التلفاز؟,تستخدم صناعة التلفاز العديد من المواد الكيميائية السامة.,تعرض الإعلانات التلفزيونية العديد من الألعاب الشعبية التي يرغب الأطفال فيها.,يوفر التلفزيون معلومات عن الحالة الجوية الحالية.,استخدام الكهرباء لتشغيل التلفزيونات هو استخدام للموارد الطبيعية.,2,ج) يوفر التلفزيون,2,1
1035,من بين هذه الخيارات، ما هي المركبة الفضائية غير المأهولة التي تم تصميمها لجمع المعلومات أثناء الدوران حول الكواكب الأخرى غير الأرض؟,مسبار فضائي,مكوك فضائي,محطة فضائية,تلسكوب فضائي,0,أ) مسبار فضائي,0,1
712,ما هما الجهازان الأساسيان اللذان يقومان بشكل رئيسي بالتخلص من النفايات التي تنتج عن إنتاج الطاقة داخل الخلايا البشرية؟,الجهاز البولي والجهاز الهيكلي,الجهاز العصبي والجهاز الهرموني,الجهاز الدوراني والجهاز الهضمي,الجهاز التنفسي والجهاز الدوراني,3,د) الجهاز التنفسي والج,3,1
826,ما هو الخاصية التي تجعل دورة المياه على الأرض ممكنة؟,يمكن للماء تغيير المرحلة.,يمكن للماء أن يتم امتصاصه من قبل النباتات.,الماء هام في التفاعلات الكيميائية.,الماء هو المذيب العالمي.,0,أ) يمكن للماء تغيير الم,0,1
