row_idx,question,passage,gold_answer_bool,pred_text,pred_answer_bool,correct
2571,هي جزر القنال وهي جزء من بريطانيا العظمى,"جزر القنال (بالنورماندية: Îles d'la Manche؛ بالفرنسية: Îles Anglo-Normandes أو Îles de la Manche) هي أرخبيل في القناة الإنجليزية، قبالة الساحل الفرنسي لنورماندي. وهي تشمل اثنين من التبعيات للتاج: بيليويك جيرسي، وهي أكبر الجزر؛ وبيلويك غيرنسي، التي تتكون من غيرنسي وألديرني وسارك وبعض الجزر الأصغر. تعتبر هذه الجزر من بقايا دوقية نورماندي، وعلى الرغم من أنها ليست جزءًا من المملكة المتحدة، إلا أن المملكة المتحدة مسؤولة عن الدفاع والعلاقات الدولية للجزر. إن تبعيات التاج ليست أعضاء في كومنولث الأمم أو الاتحاد الأوروبي. يبلغ إجمالي عدد سكانها حوالي 164,541 نسمة، ويبلغ عدد سكان عاصمتي البايليويك، سانت هيلير وسانت بيتر بورت، 33,500 و16,488 نسمة على التوالي. المساحة الإجمالية للجزر 198 كم.",0,لا.,0,1
845,هل أجرت المملكة المتحدة استفتاء للانضمام إلى الاتحاد الأوروبي؟,"استفتاء عضوية الجماعات الأوروبية في المملكة المتحدة، المعروف أيضًا باسم الاستفتاء على الجماعة الأوروبية (السوق المشتركة)، واستفتاء السوق المشتركة واستفتاء عضوية الجماعة الاقتصادية الأوروبية، أُجري في 5 يونيو 1975 في المملكة المتحدة لقياس الدعم لاستمرار عضوية البلاد في الاتحاد الأوروبي. الجماعات الأوروبية (EC) - والتي كانت تُعرف في ذلك الوقت باسم ""الجماعة الأوروبية"" و""السوق المشتركة"" والتي دخلتها في 1 يناير 1973 في ظل حكومة المحافظين برئاسة إدوارد هيث بموجب أحكام قانون الاستفتاء. 1975. وعد بيان حزب العمال للانتخابات العامة في أكتوبر 1974 بأن الشعب سيقرر ""من خلال صناديق الاقتراع"" ما إذا كان سيبقى في الاتحاد الأوروبي.",1,نعم.,1,1
1127,هل الهجوم على العمالقة له موسم 2؟,"تم بث الموسم الثاني من 1 أبريل إلى 17 يونيو 2017 على قناة MBS وشبكات التلفزيون الأخرى. قامت Funimation وCrunchyroll ببث الموسم الثاني على مواقعهم الإلكترونية، بينما بثت Adult Swim نسخة مدبلجة. الأغنية الرئيسية الافتتاحية هي ``Opfert eure Herzen!'' (心臓を捧げよ!, Shinzō o Sasageyo!، أشعل. ``خصص قلوبك!'') بواسطة Linked Horizon والأغنية الرئيسية للنهاية هي ``Yūgure no Tori''. (夕暮れの鳥) بواسطة شينسي كاماتيتشان.",1,نعم.,1,1
184,هل وصلت اسكتلندا إلى نهائي كأس العالم من قبل؟,لم تتقدم اسكتلندا أبدًا إلى ما بعد الدور الأول من مسابقة النهائيات. لقد أخفقوا في التأهل إلى الدور الثاني ثلاث مرات بفارق الأهداف: في عام 1974، عندما أطاحت بهم البرازيل؛ وفي عام 1978، عندما تقدمت هولندا؛ وفي عام 1982، عندما مر الاتحاد السوفييتي. على الرغم من أن اسكتلندا لعبت في ثماني بطولات نهائية، إلا أنها تأهلت في تسع مناسبات. رفض الاتحاد الاسكتلندي لكرة القدم المشاركة في عام 1950 لأن اسكتلندا لم تكن بطلة بريطانيا.,0,لا.,0,1
161,ساحل العاج وكوت ديفوار نفس الشيء,ساحل العاج، والمعروفة أيضًا باسم كوت ديفوار ورسميًا باسم جمهورية كوت ديفوار، هي دولة ذات سيادة تقع في غرب أفريقيا. العاصمة السياسية لساحل العاج هي ياموسوكرو، وعاصمتها الاقتصادية وأكبر مدنها هي مدينة أبيدجان الساحلية. الدول المجاورة لها هي غينيا وليبيريا في الغرب، وبوركينا فاسو ومالي في الشمال، وغانا في الشرق. يقع خليج غينيا (المحيط الأطلسي) جنوب ساحل العاج.,1,نعم,1,1
3068,هو جبل فوجي أطول جبل في العالم,"جبل فوجي (富士山، فوجيسان، IPA: (ɸɯꜜdʑisaɴ) (استمع)) يقع في هونشو، وهو أعلى جبل في اليابان بارتفاع 3,776.24 م (12,389 قدم)، وثاني أعلى قمة في جزيرة (بركانية) في آسيا، والمرتبة السابعة. -أعلى قمة في جزيرة في العالم. إنه بركان طبقي نشط اندلع آخر مرة في 1707-1708. يقع جبل فوجي على بعد حوالي 100 كيلومتر (60 ميل) جنوب غرب طوكيو، ويمكن رؤيته من هناك في يوم صافٍ. يعد مخروط جبل فوجي المتناظر بشكل استثنائي، والذي يتم تغطيته بالثلوج لمدة خمسة أشهر تقريبًا في السنة، رمزًا معروفًا لليابان ويتم تصويره كثيرًا في الفنون والصور الفوتوغرافية، كما يزوره المتفرجون والمتسلقون.",0,لا.,0,1
2722,هل فازت إنجلترا بكأس العالم لكرة القدم من قبل؟,كانت بطولة كأس العالم لكرة القدم 1966 هي بطولة كأس العالم لكرة القدم الثامنة وأقيمت في إنجلترا في الفترة من 11 إلى 30 يوليو 1966. فازت إنجلترا على ألمانيا الغربية 4-2 في النهائي، وفازت بكأس جول ريميه. إنه لقب كأس العالم الوحيد لإنجلترا. كانت خامس دولة تفوز وثالث دولة مضيفة تفوز بعد أوروغواي في عام 1930 وإيطاليا في عام 1934.,1,نعم.,1,1
1443,هل العاب xbox الأصلية تعمل على xbox one,تلقت وحدة تحكم الألعاب Xbox One تحديثات من Microsoft منذ إطلاقها في عام 2013 والتي تمكنها من لعب ألعاب مختارة من وحدتي التحكم السابقتين، Xbox وXbox 360. في 15 يونيو 2015، أصبح التوافق مع الإصدارات السابقة مع ألعاب Xbox 360 المدعومة متاحًا للمؤهلين مستخدمو برنامج Xbox Preview مع تحديث تجريبي لبرنامج نظام Xbox One. تم إصدار تحديث لوحة المعلومات الذي يحتوي على التوافق مع الإصدارات السابقة علنًا في 12 نوفمبر 2015. وفي 24 أكتوبر 2017، أضاف تحديث آخر ألعابًا من مكتبة Xbox الأصلية. فيما يلي قائمة بجميع الألعاب المتوافقة مع الإصدارات السابقة على Xbox One ضمن هذه الوظيفة.,1,نعم.,1,1
874,هل هناك أي أوراق نقدية بالألف دولار متداولة,بدأ بنك الاحتياطي الفيدرالي في إخراج العملات ذات الفئات العالية من التداول (مدمرًا الأوراق النقدية الكبيرة التي تتلقاها البنوك) في عام 1969. واعتبارًا من 30 مايو 2009، كان من المعروف وجود 336 ورقة نقدية بقيمة 10000 دولار فقط؛ 342 فاتورة بقيمة 5000 دولار متبقية؛ و165372 فاتورة بقيمة 1000 دولار متبقية. نظرًا لندرتها، غالبًا ما يدفع هواة جمع العملات أكثر بكثير من القيمة الاسمية للفواتير للحصول عليها. بعضها موجود في متاحف في أجزاء أخرى من العالم.,1,لا.,0,0
815,هل الحبل الشوكي والعمود الفقري متساويان في الطول,الحبل الشوكي عبارة عن حزمة أنبوبية طويلة ورفيعة من الأنسجة العصبية والخلايا الداعمة التي تمتد من النخاع المستطيل في جذع الدماغ إلى المنطقة القطنية في العمود الفقري. يشكل الدماغ والحبل الشوكي معًا الجهاز العصبي المركزي (CNS). عند الإنسان، يبدأ الحبل الشوكي عند العظم القذالي حيث يمر عبر الثقبة العظمى، ويلتقي ويدخل القناة الشوكية في بداية الفقرات العنقية. يمتد الحبل الشوكي إلى ما بين الفقرتين القطنيتين الأولى والثانية حيث ينتهي. يحمي العمود الفقري العظمي المحيط الحبل الشوكي الأقصر نسبيًا. يبلغ طوله حوالي 45 سم (18 بوصة) عند الرجال وحوالي 43 سم (17 بوصة) عند النساء. أيضًا، يمتلك الحبل الشوكي عرضًا متفاوتًا، حيث يتراوح سمكه من 13 ملم (⁄ بوصة) في مناطق عنق الرحم والقطني إلى 6.4 مم (⁄ بوصة) في المنطقة الصدرية.,0,لا,0,1
1725,هو الجزء العصبي المبهم من الجهاز العصبي المركزي,العصب المبهم (/ˈveɪɡəs/ VAY-gəs)، يُشار إليه تاريخيًا باسم العصب الرئوي المعدي، وهو العصب القحفي العاشر أو CN X، ويتفاعل مع التحكم السمبتاوي في القلب والرئتين والجهاز الهضمي. يتم إقران الأعصاب المبهمة. ومع ذلك، عادة ما يشار إليهم بصيغة المفرد. وهو أطول عصب في الجهاز العصبي اللاإرادي في جسم الإنسان. للعصب المبهم أيضًا وظيفة متعاطفة عبر المستقبلات الكيميائية الطرفية.,0,لا.,0,1
847,هل يمكنك التوقيع مع وكلاء مجانيين خارج فترة الانتقالات؟,تحكم فترة الانتقالات الخاصة باتحاد كرة قدم معين فقط عمليات النقل الدولية إلى اتحاد كرة القدم هذا. التحويلات الدولية خارج الاتحاد ممكنة دائمًا لتلك الجمعيات التي لديها نافذة مفتوحة. لا يجب أن تكون فترة الانتقالات الخاصة بالاتحاد الذي يغادره اللاعب مفتوحة.,1,نعم.,1,1
2067,هي نفايات الحلفاء مثل خدمات الجمهورية,"في 23 يونيو 2008، تم شراء شركة Allied من قبل منافستها الأصغر Republic Services, Inc مقابل 6.1 مليار دولار أمريكي. وأصبحت الشركة المندمجة، التي احتفظت باسم الجمهورية، ثاني أكبر شركة لإدارة النفايات الصلبة غير الخطرة في الولايات المتحدة.",1,نعم.,1,1
2941,هل ينتقل المغيرون حقًا إلى لاس فيغاس؟,كان نقل Oakland Raiders إلى لاس فيجاس بمثابة جهد ناجح من قبل مالك Oakland Raiders (مارك ديفيس) لنقل نادي كرة القدم الأمريكي من موطنه الحالي منذ فترة طويلة في أوكلاند، كاليفورنيا إلى بارادايس، نيفادا. من المقرر أن يبدأ الفريق اللعب باسم Las Vegas Raiders لموسم 2020 National Football League (NFL)، حيث يلعب المباريات المنزلية في ملعب Las Vegas، على الرغم من أن الانتقال إلى Las Vegas قد يحدث في أقرب وقت في عام 2019 مع ملعب Sam Boyd. صوت أصحاب فريق NFL بأغلبية 31-1 للموافقة على هذه الخطوة، والتي تم الإعلان عنها في اجتماعات الدوري السنوية في فينيكس، أريزونا في 27 مارس 2017. أصبح The Raiders ثالث امتياز NFL يتم نقله في العقد الأول من القرن الحادي والعشرين، بعد انتقال رامز من سانت لويس، ميسوري إلى لوس أنجلوس، كاليفورنيا في 12 يناير 2016، وانتقال ذا تشارجرز من سان دييغو، كاليفورنيا إلى لوس أنجلوس في 12 يناير 2017. ويأتي انتقال ذا رايدرز إلى لاس فيغاس بعد سنوات من الجهود الفاشلة للتجديد أو استبدل مدرج مقاطعة أوكلاند-ألاميدا، والذي تم تصنيفه من قبل مصادر متعددة باعتباره أحد أسوأ الملاعب في اتحاد كرة القدم الأميركي.,1,نعم.,1,1
2612,لقد فاز كليفلاند على غولدن ستايت في النهائيات,التنافس بين كافالييرز ووريورز هو تنافس في الرابطة الوطنية لكرة السلة (NBA) بين كليفلاند كافالييرز وغولدن ستايت ووريورز. بينما لعب الفريقان مع بعضهما البعض منذ انضمام كافالييرز إلى الدوري في عام 1970، بدأ التنافس بينهما يتطور في موسم 2014–15، عندما التقيا في أول سلسلة من أربع نهائيات متتالية في الدوري الاميركي للمحترفين. قبل بداية الخط، لم يواجه أي فريقين بعضهما البعض في أكثر من نهائيين متتاليين. من بين هذه السلاسل الأربع، فاز فريق ووريورز بثلاث بطولات (2015 و2017 و2018)، وفاز فريق كافالييرز في عام 2016.,1,نعم,1,1
1729,هل استخدموا الحراب في الحرب الأهلية,خلال الحرب الأهلية الأمريكية (1861-1865)، تبين أن الحربة كانت مسؤولة عن أقل من 1% من الضحايا في ساحة المعركة، وهي السمة المميزة للحرب الحديثة. كان استخدام عبوات الحربة لإجبار العدو على التراجع ناجحًا للغاية في العديد من اشتباكات الوحدات الصغيرة على مسافة قصيرة في الحرب الأهلية الأمريكية، حيث كانت معظم القوات تتراجع عند شحنها أثناء إعادة التحميل (الأمر الذي قد يستغرق ما يصل إلى دقيقة مع مسحوق سائب حتى بالنسبة القوات المدربة). على الرغم من أن مثل هذه الهجمات تسببت في خسائر قليلة، إلا أنها غالبًا ما قررت اشتباكات قصيرة وامتلاك تكتيكي لميزات أرضية دفاعية مهمة. بالإضافة إلى ذلك، يمكن استخدام تدريبات الحربة لحشد الرجال المنزعجين مؤقتًا من نيران العدو.,1,نعم.,1,1
1451,يمكن أن يكون الناقل العصبي مثيرًا ومثبطًا,يمكن للناقل العصبي أن يؤثر على وظيفة الخلية العصبية من خلال عدد ملحوظ من الآليات. ومع ذلك، في أفعاله المباشرة في التأثير على الاستثارة الكهربائية للخلية العصبية، يعمل الناقل العصبي بإحدى طريقتين فقط: استثارة أو تثبيط. يؤثر الناقل العصبي على تدفق الأيونات عبر الغشاء إما لزيادة (استثارة) أو لتقليل (تثبيط) احتمال أن تنتج الخلية التي يتلامس معها جهد فعل. وهكذا، على الرغم من التنوع الكبير في المشابك العصبية، إلا أنها جميعًا تنقل رسائل من هذين النوعين فقط، ويتم تصنيفها على هذا النحو. تعتبر المشابك العصبية من النوع الأول مثيرة في أفعالها، في حين أن المشابك العصبية من النوع الثاني تكون مثبطة. كل نوع له مظهر مختلف ويقع في أجزاء مختلفة من الخلايا العصبية تحت تأثيره. تستقبل كل خلية عصبية آلاف الإشارات المثيرة والمثبطة كل ثانية.,0,نعم,1,0
