task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
more_sad,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,"لِلَّه مــاأَعــلَقَ الهـوى بـي
لِلَّه مــاأَعــلَقَ الهـوى بـي
لِلَّه مــاأَعــلَقَ الهـوى بـي
لِلَّه مــاأ",1.0,31,108,77
more_sad,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
ي",1.0,26,136,110
more_sad,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا

البيت الأصلي:
أَتَذَكَّرُهُ كَانَ يَسْتَحِبُّ الْعَذَابَ
وَكَانَ ي",1.0,38,106,68
more_sad,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتقِطُ البُلبلُ قُوتَ يَومِهِ بِحزنٍ وِأَلمٍ.

البيت الأصلي:
أَحْبُّكَ حُبّاً لَنْ يَتَزَوَّدَ

أعد",1.0,31,101,70
more_sad,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"،

البيت الأصلي:
""أنتِ التي أُعطيَتِ لي، يا حبيبتي،
أنتِ التي أُعطيَتِ لي",1.0,1,73,72
more_sad,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ،
في حزنٍ عميق، في ألمٍ لا ينتهي.

البيت الأصلي:
أنتِ من أضرمتِ النارَ في قلبي

أعد كتابة البيت بنبرة حزينة واضحة، في سطر واحد فقط",1.0,29,159,130
more_sad,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــف",1.0,49,117,68
more_sad,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"عانيت حبك في أقصى مراحِلِهِ،
في أقصى مراحِلِهِ، عانيت حبك.
عانيت حبك في أقصى مراحِلِهِ،
في أقصى مراحِلِهِ، عانيت حب",1.0,27,115,88
more_sad,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قَد كادَ هَذا الفَخُّ أَن يَعقِرا

البيت الأصلي:
أَحْبُّكَ حَبّاً لَن يَتَزَوَّدَ
وَأَحْبُّكَ حَبّاً لَن يَتَ",1.0,33,109,76
more_sad,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُهُ،
كأنّي أرى فيهِ مَوتَىً مَحْبُوبٍ.

البيت الأصلي:
وَأَحْمَرَةٌ كَالْقَمَرِ",1.0,32,108,76
