task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
rephrase_clearer,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,"لله ما أثارته مشاعر الحب في قلبي.

البيت الأصلي:
أَحْبُّكَ حُبّاً لَنْ يَتَكَرَّرَ
وَأَحْبُّكَ حُبّاً يَتَكَرَّر",0.0967741935483871,31,112,81
rephrase_clearer,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"يأخذ الروح من روحها.

البيت الأصلي:
أنتِ من أسرَتْ قلبي، يا حبيبتي،
وأنتِ من أسرَتْ روحي، يا حبيبتي.

أعد كتابة البيت بصياغة أوضح وأسه",0.3076923076923077,26,134,108
rephrase_clearer,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"يا إلهي، أتمنى أن ألتقي بصاحبي عندما يصبح الليل هادئًا.

البيت الأصلي:
أَتَذَكَّرُ مَوْتَى أَخِي وَأَتَذَكَّرُ
أَنَّهُ لَمْ يَكُنْ ل",0.0,38,132,94
rephrase_clearer,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يأكل البلبل طعامه في الصباح.

البيت الأصلي:
أَحْبُّكَ حُبّاً لَنْ يَتَزَوَّدَ
وَلا يَتَزَوَّدُ مِنْهُ أَحَدٌ",0.0967741935483871,31,108,77
rephrase_clearer,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"""أنتِ مثل النجوم في السماء، تلمعين وتتألقين،
تضيئين الليل بجمالك، وتجعلينه أكثر إشراقًا.""

ال",0.0,1,93,92
rephrase_clearer,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ

البيت الأصلي:
أنتِ من أضرمتِ النارَ في قلبي
أنتِ من أضرمتِ النارَ في قلبي

أعد كتابة البيت بصياغة أوضح وأسهل، في سطر واحد فقط،",1.0,29,157,128
rephrase_clearer,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"ما هو موقفي في مكان يجمع المال؟

البيت الأصلي:
أَتَجَوَّلُ فِي الْأَرْضِ كَالْحَيَوَانِ الَّذِي لا يَجِدُ مَأْوَىً

أعد كتابة البيت بصياغة أوضح وأسهل، في سطر واحد فقط، بدون",0.10204081632653061,49,172,123
rephrase_clearer,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"لقد عانيت من حبك في أقصى درجاته.

البيت الأصلي:
أنتِ من أضاءتِ قلبي، وجعلتِهِ يلمعُ

أعد كتابة البيت بصياغة أوضح وأسهل، في سطر واحد فقط، بدون أي تع",0.07407407407407407,27,147,120
rephrase_clearer,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"لقد كاد هذا الفخ أن يمسك بي.
لقد كاد هذا الفخ أن يمسك بي.
لقد كاد هذا الفخ أن يمسك بي.
لقد كاد هذا الفخ أن يمسك بي.
لقد كاد هذا الفخ أن يمسك بي.
لقد كاد هذا الفخ أن ي",0.21212121212121213,33,166,133
rephrase_clearer,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"أبيض مثل بلورة، لونها يجعلك تعتقد أنها

البيت الأصلي:
وَأَحْمَرَةٌ كَالْحَمْرَةِ الْمُخْتَرَقَةِ

أعد كتابة البيت بصياغة أوضح وأسهل، في سطر",0.0,32,139,107
