task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
rephrase_clearer,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,للَّه ما أثقل الهوى بي,0.03225806451612903,31,22,-9
rephrase_clearer,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"""يخطف الروحَ من روحها خاطفٌ""",0.0,26,28,2
rephrase_clearer,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه تلك الليلة حين كان أصحابي معي.,0.23684210526315788,38,36,-2
rephrase_clearer,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,البلبل يلتقط قوت يومه.,0.0,31,22,-9
rephrase_clearer,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"""أرجو أن تكون هذه الخدمة مفيدة لك.""",0.0,1,35,34
rephrase_clearer,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,ما تركتُ اللقاءَ يومَ الفراقِ,1.0,29,29,0
rephrase_clearer,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,1.0,49,49,0
rephrase_clearer,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,عانيت حبك من بدايتِهِ حتى الآن.,0.4074074074074074,27,31,4
rephrase_clearer,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,قَد كادَ الفَخُّ أَن يَعقِرَ,0.30303030303030304,33,28,-5
rephrase_clearer,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"""وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه""",0.0,32,34,2
rephrase_clearer,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,لاحَ العذار فخلت ليلة القدر,0.40625,32,27,-5
rephrase_clearer,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,"""لا إله إلا الله""",0.03225806451612903,31,17,-14
rephrase_clearer,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,يا رب، إن الفراق قد أثّر فيّ بشدة.,0.05,40,34,-6
rephrase_clearer,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"""ماذا لو اجتمع الوصل مع الضرر؟""",0.0,28,31,3
rephrase_clearer,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,"""أبدى رأيه بوضوح.""",0.0,23,18,-5
rephrase_clearer,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,قاسيتُ بكَ الغرامَ والوجدَ سنينًا.,0.10256410256410256,39,34,-5
rephrase_clearer,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر

بهذا الشكل، يبقى البيت الشعري كما هو، ولكن بصياغة أوضح وأسهل.",1.0,43,106,63
rephrase_clearer,74142,,أمين خير الله,ترى فردهم حينما وقفا,فردهم حينما وقفا,0.05,20,16,-4
rephrase_clearer,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,نــح ذكــرى الهـوى وعــهــد الغــرام,0.6666666666666666,33,36,3
rephrase_clearer,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,"""وليلٍ تعاطينا المدام وبيننا""",0.05555555555555555,36,29,-7
rephrase_clearer,89507,,طانيوس عبده,أوصــي بــكـل قـريـحـتـي لجـهـنـم,أوصي بكل قريحتي لجهنم,0.09090909090909091,33,21,-12
rephrase_clearer,43248,إذا أن شارفت الديار تحدثت,أسامة بن منقذ,إذا أن شارفت الديار تحدثت,إذا شارفت الديار تحدثت,0.16,25,22,-3
rephrase_clearer,53709,في الساحة الخالية,محمود درويش,ساحة خالية . ذباب وظهيرة وشجرة,ساحة خالية من الحياة، ذباب وظهيرة وشجرة.,0.36666666666666664,30,40,10
rephrase_clearer,62380,وكأن غلي دنانهم في دورهم,بشار بن برد,وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم,غِلاَنُ الدنانِ في دورِهِمْ,0.027777777777777776,36,27,-9
rephrase_clearer,152633,,ابن الحريش الأصفهاني,نـظـرنـا فـمـن قـلبٍ تـضـرم وقده,نظرتُ، فرأيتُ قلبًا مشتعلًا.,0.03125,32,28,-4
rephrase_clearer,125266,,علي الغراب الصفاقسي,لئن ظـهـرت بالجسم منك طوالعُ,"""إن ظهرت في جسدك علامات الشيخوخة.""",0.17857142857142858,28,34,6
rephrase_clearer,112522,,محمد صالح محيي الدين,أتــتــك تـهـادى بـاسـمـات ثـغـورهـا,أتتك باسمات ثغورها,0.05555555555555555,36,18,-18
rephrase_clearer,169724,هذه الموجة من هذا الخضم,إدريس محمد جماع,هذه الموجة من هذا الخضم,هذه الموجة من هذا الخضم,1.0,23,23,0
rephrase_clearer,215180,شرديني,فائق عبد الجليل,شرديني ... اتبعيني,شرديني ... اتبعيني,1.0,18,18,0
rephrase_clearer,72223,,صالح مجدي,هَــذا كـتـاب بِهِ فـي بـابـه كُـشـفـت,"هَــذا كـتـاب فـي بـابه كُـشـفـت

بهذا الشكل، يبقى البيت شعريًا، ولكن بألفاظ أوضح وأسهل.",0.3684210526315789,38,88,50
