row_idx,poem_title,poet_name,gold_bayt,pred_bayt,exact_match,char_match_ratio
118747,,ابن دانيال الموصلي,مَــنْ لا يُـبـالي بـالمـدي,"مَــنْ لا يُـبـالي بـالمـدي

البيت:
مَــنْ لا يُـبـالي بـالمـ",0,1.0
95213,,أحمد بن علوان,لا حرف لي في حرفهِ,"لا حرف لي في حرفهِ

البيت:
لا حرف لي في حرفهِ

أعد كتابة البيت كما هو تمامًا",0,1.0
149532,,عبد الرحمن الحميدي,يــا مــائسـة القـدّ يـا مـكـحـلة العـيـن,"يــا مــائسـة القـدّ يـا مـكـحـلة العـيـن

البيت:
أَحْبُّكَ حُبّاً لَنْ",0,1.0
78040,,أعشى همدان,لَئِن فَتَنَتني فَهيَ بِالأَمسِ أَفتَنَت,"لَئِن فَتَنَتني فَهيَ بِالأَمسِ أَفتَنَت

البيت:
وَأَحْبُّ أَنْ أَكُون",0,1.0
82526,,أبو هلال العسكري,طَـرَقَ الخَـيـالُ فَـزارَ مِنهُ خَيالاً,"طَـرَقَ الخَـيـالُ فَـزارَ مِنهُ خَيالاً

البيت:
وَالْحَقُّ يَقُولُ لِ",0,1.0
9019,إذا صاحبت فاصحب عكبريا,الأحنف العكبري,إذا صاحبت فاصحب عكبريا,"إذا صاحبت فاصحب عكبريا

البيت:
إذا صاحبت فاصحب عكبريا

أعد كت",0,1.0
223742,خاتم الخطبة,نزار قباني,ويْحَكِ ! في إصْبَعكِ المُخْمَلي,"ويْحَكِ ! في إصْبَعكِ المُخْمَلي

البيت:
وَأَحْبُّ أَنْ أَكُ",0,1.0
33986,قلت لما بكى عشية ناديت,عبد المحسن الصوري,قُلتُ لما بكى عَشيَّةَ نادَي,"قُلتُ لما بكى عَشيَّةَ نادَي

البيت:
قُلتُ لما بكى عَشيَّةَ نادَي

أ",0,1.0
97439,,الخليل بن أحمد الفراهيدي,رُزِقـتُ جـوداً وَلَم أُرزَق مُروءَتَهُ,"رُزِقـتُ جـوداً وَلَم أُرزَق مُروءَتَهُ

البيت:
وَأَحْبُّ أَنْ أَكُ",0,1.0
250508,قصائد المتعبين,محمد حبيبي,(1),"(1)

البيت:
(1)",0,1.0
186988,بغداد مشفقة على أعدائها .,علاء الأديب,بغداد مشفقة على أعدائها,"بغداد مشفقة على أعدائها

البيت:
أنتِ من أين؟
أنتِ من أين؟

أ",0,1.0
47602,هذا ابتداء له عند العلى خبر,ابن حمديس,هذا ابتداءٌ له عند العُلى خَبَرُ,"هذا ابتداءٌ له عند العُلى خَبَرُ

البيت:
وَأَحْبُّ أَنْ أَكُونَ مِنْ أَ",0,1.0
2592,أهذه خطرات الربرب العين,الأبيوردي,أهذه خَطَراتُ الرَّبْرَبِ العِينِ,"أهذه خَطَراتُ الرَّبْرَبِ العِينِ

البيت:
أهذه خَطَراتُ الرَّبْرَبِ العِين",0,1.0
111976,,خليل مطران,فُــوْجِــئتُ فِــيـكَ بِـأَنْـكَـرِ الأَنْـبَـاءِ,"فُــوْجِــئتُ فِــيـكَ بِـأَنْـكَـرِ الأَنْـبَـاءِ

البيت:
وَأَنْـتَ الَّذِي كُنْ",0,1.0
50922,لا تسألن عيسى فما,الشريف العقيلي,لا تَسأَلَن عيسى فَما,"لا تَسأَلَن عيسى فَما

البيت:
لا تَسأَلَن عيسى فَ",0,1.0
76483,,المفتي فتح الله,أَدامَ لي البشرَ وَاِبتساما,"أَدامَ لي البشرَ وَاِبتساما

البيت:
أَدامَ لي البشرَ وَاِبتساما

أعد كتابة",0,1.0
216347,نهايات ( 4 ),نواف التركي,هذا أنا يا أسماء,"هذا أنا يا أسماء

البيت:
أنتِ يا أسماء

أعد كتابة البيت كما هو تمام",0,1.0
104486,,شرف الدين الحلي,أعـجـب شيء رأته عيني,"أعـجـب شيء رأته عيني

البيت:
أعـجـب شيء رأته عيني

أ",0,1.0
173696,مآتم و أعراس,عبد الله البردوني,كيف كنّا يا ذكريات الجرائم,"كيف كنّا يا ذكريات الجرائم

البيت:
كيف كنّا يا ذكريات الجرائم

أعد كتابة البيت كما هو تمامًا",0,1.0
