row_idx,goal,sol1,sol2,gold_label_idx,pred_text,pred_label_idx,correct
721,كيف تصنع الحساء؟,قم بغليها في قدر أو قدر.,اغليها في مقلاة.,0,"أ

الشرح:
الخيار",0,1
1762,طريقة عمل تارت الأناناس الاستوائي في المنزل.,يُمزج نصف كوب من الأناناس المقشر المفروم مع ربع كوب سكر وملعقة كبيرة. نضع الزبدة ثم نضعها في قشرة التارت غير المخبوزة ونخبزها لمدة 18 دقيقة. في فرن على حرارة 375 درجة، قومي بفحصها وإزالتها عندما تحمر.,يُمزج نصف كوب من قشور الأناناس المفرومة مع ربع كوب سكر وملعقة كبيرة. نضع الزبدة ثم نضعها في قشرة التارت غير المخبوزة ونخبزها لمدة 18 دقيقة. في فرن على حرارة 375 درجة، قومي بفحصها وإزالتها عندما تحمر.,0,"أ

الشرح:
الخ",0,1
1751,كيف تطبخين الدجاج؟,بأي طريقة تريدينها حتى يصبح لونها بنيًا.,بأي طريقة تريدينها، حتى يزول عنها اللون الوردي.,1,"ب

الشرح:
الخيار",1,1
1105,كيف تبني عضلات الذراعين؟,قم بتمارين العضلة ذات الرأسين والعضلة ثلاثية الرؤوس حتى لا تتمكن من القيام بالمزيد من الإرهاق. وهذا سيضمن أكبر قدر من النمو.,قم بتمارين العضلة ذات الرأسين والعضلة ثلاثية الرؤوس بما يكفي لإرهاقك ولكن ليس بما يكفي لإيذاءك، وتناول البروتين بعد ذلك.,1,"ب

الشرح:
الخيار",1,1
348,كيفية إنشاء شكل من الشريط اللاصق؟,بمجرد قص الشريط اللاصق، استخدم الورق لرسم شكل ولف الشريط اللاصق فوق هذا الشكل,بمجرد قص الشريط اللاصق، استخدم الورق المقوى لرسم شكل ولف الشريط اللاصق حول هذا الشكل,1,"ب

الشرح:
الخ",1,1
572,كيفية قطع أجنحة اليعسوب من المعدن.,استخدم قرص القطع وقم بالقص على طول الخطوط بعناية.,استخدم المقص وقم بالقص على طول الخطوط بعناية.,0,"أ)

الشرح:",0,1
10,إطالة عمر الزهور في المزهرية.,أضف كمية صغيرة من القهوة في المزهرية.,أضف كمية صغيرة من سفن اب في المزهرية.,1,"ب

الشرح:
يمكن أن",1,1
1561,q-tip,ينظف الأذنين بلطف.,ينظف قناة الأذن بلطف.,0,"أ)

الشرح:",0,1
223,كيفية العثور على مسمار في الحائط لتأمين خزائن ورشة العمل,للعثور على مسمار في الحائط لتأمين خزائن الورشة، أفضل ما يمكنك فعله هو القياس من الداخل من زوايا الجدار، والحفر كل ست بوصات حتى تجد المسمار.,للعثور على مسمار في الحائط لتأمين خزائن ورشة العمل، أفضل ما يمكنك فعله هو شراء أداة البحث عن المسامير الإلكترونية أو الليزرية. يمكن أيضًا القيام بذلك عن طريق النقر على الجدران للحكم على الفرق في الصوت بين الحوائط الجافة المجوفة واللوح المثبت، لكن هذا أقل دقة بالنسبة للبناة عديمي الخبرة.,1,"ب

الشرح:
الخيار",1,1
1283,كيف تشعل موقد الغاز بإشعال صعب؟,قم بتشغيل الغاز وعلى المنطقة الصغيرة القريبة من قاعدة الضوء باستخدام عود ثقاب صغير أو لهب,أطفئ الغاز وعلى المنطقة الصغيرة القريبة من قاعدة الضوء باستخدام عود ثقاب كبير أو لهب,0,"أ)

الشرح:",0,1
1127,كيف تعرف متى تشتري وتبيع الأسهم؟,هذا هو مفتاح التداول الناجح. يُنصح باستخدام وسيط/مستشار نظرًا لوجود الكثير مما يجب معرفته والذي قد لا يكون متاحًا في الوقت المناسب، ولكن مستشار الأسهم يظل على اطلاع دائم. لذلك ستعرف متى تشتري أو تفعل العكس، للحصول على أفضل النتائج المالية.,هذا هو مفتاح التداول الناجح. يُنصح باستخدام وسيط/مستشار نظرًا لوجود الكثير مما يجب معرفته والذي قد لا يكون متاحًا في الوقت المناسب، ولكن مستشار الأسهم يظل على اطلاع دائم. لذلك ستعرف متى تشتري أو تفعل الشيء المناسب، للحصول على أفضل النتائج المالية.,0,"أ)

الشرح:",0,1
196,كيف تشتت انتباه شخص ما؟,اجعلهم مشغولين بشيء آخر.,إبقائهم على المسار الصحيح.,0,أ) اجعلهم مشغول,0,1
1719,كيفية نزع أحشاء الدب العملاق.,ابدأ باستخدام المقص لقطع أنفه وعينيه. بمجرد إزالة وجهه، قم بإزالة كل القطن الداخلي.,ابدأ باستخدام عيدان تناول الطعام لقطع أنفه وعينيه. بمجرد إزالة وجهه، قم بإزالة كل القطن الداخلي.,0,"أ

الشرح:
الخ",0,1
1085,للسماح لنفسك بإجراء التعديلات أثناء الكتابة باليد.,استخدم قلم الرصاص بدلاً من القلم، حتى تتمكن من مسح أي أخطاء.,استخدم قلمًا بدلاً من قلم الرصاص حتى تتمكن من مسح أي أخطاء.,0,"أ)

الشرح:",0,1
