generation_id,base_meter,form,generated_word_count,candidate_train_docs,nearest_train_id,nearest_train_source_index,nearest_train_base_meter,nearest_train_form,train_normalized_exact,train_word5_jaccard,train_char5_jaccard,train_shared_word8_count,train_shared_word13_count,train_max_copied_word_span,reference_normalized_exact,reference_word5_jaccard,reference_char5_jaccard,reference_shared_word8_count,reference_shared_word13_count,reference_max_copied_word_span,train_copy_flag,train_copy_flag_reasons,reference_copy_flag,reference_copy_flag_reasons
shaer_test_000001,الكامل,تام,69,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.009124,0,0,3,False,,False,
shaer_test_000002,الكامل,تام,158,2,45015,39726,الرمل,مجزوء,False,0.004608,0.014493,0,0,5,False,0.0,0.034217,0,0,2,False,,False,
shaer_test_000003,الكامل,تام,21,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.072464,0,0,2,False,,False,
shaer_test_000004,المجتث,تام,26,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.020619,0,0,1,False,,False,
shaer_test_000005,الكامل,مجزوء,40,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.047337,0,0,2,False,,False,
shaer_test_000006,الوافر,تام,63,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.042857,0,0,2,False,,False,
shaer_test_000007,الكامل,مجزوء,92,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.020281,0,0,2,False,,False,
shaer_test_000008,الطويل,تام,44,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.024169,0,0,1,False,,False,
shaer_test_000009,الطويل,تام,25,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.083333,0,0,3,False,,False,
shaer_test_000010,الوافر,تام,20,0,,,,,False,0.0,0.0,0,0,0,False,0.033333,0.175,0,0,5,False,,False,
shaer_test_000011,الرمل,تام,19,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.130435,0,0,2,False,,False,
shaer_test_000012,الطويل,تام,20,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.06,0,0,2,False,,False,
shaer_test_000013,الكامل,تام,18,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.049296,0,0,2,False,,False,
shaer_test_000014,المتقارب,تام,18,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.133333,0,0,3,False,,False,
shaer_test_000015,الوافر,تام,18,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.035714,0,0,1,False,,False,
shaer_test_000016,الرمل,مجزوء,16,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.068966,0,0,3,False,,False,
shaer_test_000017,الخفيف,تام,18,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.007299,0,0,1,False,,False,
shaer_test_000018,الوافر,تام,21,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.0,0,0,1,False,,False,
shaer_test_000019,الكامل,تام,9,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.029851,0,0,1,False,,False,
shaer_test_000020,الوافر,تام,162,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.017955,0,0,2,False,,False,
shaer_test_000021,الوافر,تام,16,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.014815,0,0,1,False,,False,
shaer_test_000022,الطويل,تام,19,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.018072,0,0,2,False,,False,
shaer_test_000023,الكامل,تام,16,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.035971,0,0,1,False,,False,
shaer_test_000024,الكامل,تام,46,0,,,,,False,0.0,0.0,0,0,0,False,0.0,0.013055,0,0,2,False,,False,
shaer_test_000025,الطويل,تام,100,1,94307,84290,الطويل,تام,False,0.006897,0.024823,0,0,5,False,0.0,0.009563,0,0,2,False,,False,
