task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
mawzoon,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,"لِلَّه مــاأَعــلَقَ الهـوى بـي
للله ما أعلق الهوى بي
للله ما أعلق الهوى بي
للله ما أعلق الهوى بي
للله ما أعلق الهوى بي
للله ما أعلق الهوى بي
للله ما أعلق",1.0,31,154,123
mawzoon,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
ي",1.0,26,136,110
mawzoon,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا
للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا
للَّه لِيـلتـنـا إِذ صـاحِـب",1.0,38,106,68
mawzoon,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتَقِطُ البُلْبُلُ قُوتَ يَوْمِهِ

البيت الأصلي (قد يكون مكسور الوزن):
أَحْبُّكَ حُبّاً لا يَتَكَلَّمُ بِهِ
ال",0.1935483870967742,31,112,81
mawzoon,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"،

البيت الموزون:
،

البيت الأصلي:
،

البيت الموزون:
،

البيت الأصلي:
،

البيت الموزون",1.0,1,86,85
mawzoon,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ
ما تركتُ اللقاءَ يومَ الفراقِ
ما تركتُ اللقاءَ يومَ الفراقِ
ما تركتُ اللقاءَ يومَ الفراقِ
ما تركتُ اللقاءَ يومَ الفراقِ
ما تركتُ",1.0,29,158,129
mawzoon,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــف",1.0,49,117,68
mawzoon,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"عانيت حبك في أقصى مراحِلِهِ
عانيت حبك في أقصى مراحِلِهِ
عانيت حبك في أقصى مراحِلِهِ
عانيت حبك في أقصى مراحِلِهِ
عانيت",1.0,27,117,90
mawzoon,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قَد كادَ هَذا الفَخُّ أَن يَعقِرا
قَد كادَ هَذا الفَخُّ أَن يَعقِرا
قَد كادَ هَذا الفَخُّ أَن يَعقِرا
قَد كادَ هَذا الفَخُّ أ",1.0,33,125,92
mawzoon,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُهُ
(مُقَفَى: فَعُول)
(البحر: الطويل)

البيت الأصلي (قد يكون مكسور الوزن):
أَحْبُّكَ حَبًّا",1.0,32,121,89
