row_idx,poem_title,poet_name,poem_text_snippet,gold_label,pred_text,pred_label,correct
87612,,علي محمود طه,"هـذا الرحـيـقُ فـأيـن كـأسُ الشـاعِـرِ
قــد أوحـشَ الأحـبـابَ ليـلُ السـامـرِ
لِمَ يــا حــيــاةُ وقــد أحــلَّكِ قــلبَهُ",العصر الحديث,العصر العباسي,العصر العباسي,0
90851,,محمد الأمين البوصادي,"أيا خيمة الأعلى ويا مأمن الأدنى 
ويا خيمة الأقصى ويا خيمة الأدنى 
فـإِن المـعـالي حـومـة كـنـت جـبـتـها ",العصر الحديث,العصر العباسي,العصر العباسي,0
55100,حججت ولم أحجج لذنب جنيته,قيس بن الملوح,"حَجَجتُ وَلَم أَحجِج لِذَنبٍ جَنَيتُهُ
وَلَكِن لِتُعدي لي عَلى قاطِعِ الحَبلِ
ذَهَبتَ بِعَقلي في هَواها صَغيرَةً",,العصر العباسي,العصر العباسي,0
63201,أحب من ليس حظ في مودته,الشريف المرتضى,"أُحِبُّ مَنْ ليس حظٌّ في مودّتِهِ
وَليسَ إلّا الهَوى والهمُّ والكَمَدُ
يَسوؤُهُ أنّه همِّي ويُغضِبُهُ",العصر المملوكي,العصر العباسي,العصر العباسي,0
47870,علقته حين ارجحن به الصبا,ابن النقيب,"عُلِّقْتُهُ حين ارجحنّ به الصبا
مرحاً ونوّر غصنه المترنحُ
رشأ أغن مُخَفَّر مترعرع",العصر العثماني,العصر العباسي,العصر العباسي,0
127684,,قاسم بن عطاء الله المصري ,"بــكــت بــدمــع الطــل عــيــن النـرجـس
فــأضــحــكــت ثــغــر الأقــاح الألعــس
حـــديـــقـــة بـــهـــا الســـرو مـــحـــدق",العصر العثماني,العصر العباسي,العصر العباسي,0
197928,شــعراءٌ قُتلوا: المتنبي مثالاً,ظافر بن علي القرني,"شعراء قتلوا: المتنبي مثلاً
قـتـلـوهـم لأنـهـم أحــيـــاءُ
ولأن الحـيـاة  قـفــرٌ عــفــاءُ",,العصر العباسي,العصر العباسي,0
86438,,حمد خليفة أبو شهاب  ,"مــا يــثــيـب الصَـبّ ويـعـيـنـه 
 مــن دواهــي الحــبّ ومْــحـونـه
غــيــر لي فــاهــم قـوانـيـنـه ",العصر الحديث,العصر العباسي,العصر العباسي,0
138188,,حسن حسني الطويراني,"إِلَيكَ عني فَإِن المَجد أَصبَح لي
شُـغـلاً يـمـانع عَن كأس وَمَحبوبِ
فَـلَسـت أَهوى كُميتاً غَير ضابحة",العصر الحديث,العصر الأموي,العصر الأموي,0
251253,منن بأيسر شكرها أعييتني,ابن دارج القسطلي,"منن بأيسر شكرها أعييتني
فمتى أقوم بشكر ما أوليتني
أعطيتني ذخر الزمان وإنما",,العصر العباسي,العصر العباسي,0
22144,أمسى الشباب رداء عنك مستلبا,ابن الرومي,"أمسى الشبابُ رداءً عنك مستلبا
ولن يدومَ على العصرَين ما اعْتقبا
أعزِرْ عليَّ بأن أضحتْ مناسبُهْ",العصر العباسي,العصر العباسي,العصر العباسي,1
187036,قيل في الخمسين تعشق.,علاء الأديب,"قيل في الخمسين تعشق؟
قلت بل بالعشق أغرق
قيل هل قلبك يقوى؟",,العصر العباسي,العصر العباسي,0
231713,لا تستفت رمقي مادام بي رمق,ابن هتيمل,"لا تَستفِت رَمَقي مادامَ بي رَمَقُ
واستَبقِ فَضلَةَ صبٍّ كادَ يَحتَرِقُ
فَما سَفَكتَ دَمي إلاَّ عَلَى ثِقَةٍ",,العصر العباسي,العصر العباسي,0
89944,,ابن حصن الإشبيلي,"ومـا هـاجـنـي إلا ابن ورقاء هاتف
عـلى فـنـن بـيـن الجـزيـرة والنـهر
مــفــســتــقُ ظــهــرٍ لازورديُّ كــلكــلٍ",المغرب والأندلس,العصر العباسي,العصر العباسي,0
123387,,عبد الله بن همام السلولي,"اصـبـر يـزيـد فقد فارقت ذا ثقةٍ
واشكر بلاء الذي بالودّ أصفاكا
أصـبـحـت تـمـلك هـذا الخلق كلهم",العصر الأموي,العصر الأموي,العصر الأموي,1
71790,,المزرد الغطفاني,"نـغـت فلما لم تجد آل معبدٍ
بأسفل أدعاص المروارة حنت",المخضرمين,العصر العباسي,العصر العباسي,0
161851,سلام كماء الغيث,أحمد الزهراني,"سلام  كماء  الغيث هتان صبه
يهل على الواحات في الأرض ساقيا
سلام  كتغريد العصافير عندما",,العصر العباسي,العصر العباسي,0
241740,عاشقة في مدن بلا ذاكرة,غادة السمان,"لستُ سلحفاة...
ووطني ليس صدفة من عاج،
أرتديها فوق ظهري، وأهرول بها حيث أشاء..",,العصر الحديث,العصر الحديث,0
35165,بعدي عن العالم الغرار ألزمني,جرمانوس فرحات,"بُعدي عن العالم الغرّارِ ألزمني
بغضَ المشيَّة مع قُنْيانِه الزمني
اكفر بنفسك إن هاجرتَ مُغترباً",العصر العثماني,العصر العباسي,العصر العباسي,0
73845,,محمد بن يزيد الحصني المسلمي الأموي,"شهدنا الرهان غداة الرهان 
 بــمــجـمـمـة ضـمـهـا المـوسـم
نـقـود إليـهـا مـقـاد الجميع",العصر العباسي,العصر العباسي,العصر العباسي,1
158091,,عبد الباقي العمري,"وبـي بـابلي اللحظ سحر جفونه
لل نـفـثـات فـي عـقـود نـطـاقه
بـحـلة خدَّيه العذار قد أزدرى",العصر الحديث,العصر العباسي,العصر العباسي,0
217219,تدجّنني,خالد مصباح مظلوم,"تدجِّنني كتدجين الدجاجِ
وتحرمني حقوقي من زواجي
بأخرى غيرها تجلو همومي",,العصر الحديث,العصر الحديث,0
179337,خليليَّ إني من محبتي العلى,أبو منصور الثعالبي,"خليليَّ إني من محبتي العلى
بُليتُ بعلوي الصفات أخي البدرِ
فعقد الثريا مستكنٌّ بثغره",,العصر العباسي.,العصر العباسي,0
61461,يا ليلة طاب لي بها الأرق,ابو نواس,"يا لَيلَةً طابَ لي بِها الأَرَقُ
حَتّى بَدا مِن صَباحِها الفَلَقُ
نُسقى سُلافاً مِن بِنتِ دَسكَرَةٍ",العصر العباسي,العصر العباسي,العصر العباسي,1
126304,,محمد حسن سميسم,"حـــي ومـــا أصـــغـــى إلى لوامــه
فـأعـاد عـيـد البـشـر في إلمامه
وأتــى إلي مــسـلمـا فـعـجـلت فـي",العصر الحديث,العصر العباسي,العصر العباسي,0
35142,مدح البتول يسرني,جرمانوس فرحات,"مدحُ البتولِ يَسُرُّني
فهو البداية والنهايهْ
ويقي حواسي كسرَها",العصر العثماني,عصر بين الدولتين,عصر بين الدولتين,0
153645,,أم الفضل بنت الحارث الهلالية,"ثَـكـلتُ نَـفـسـي وَثـكـلتُ بـكري
إِن لَم يَـسُـد فهراً وغير فهرِ
بِالحسبِ الواقي وَبذل الوفرِ",المخضرمين,العصر العباسي,العصر العباسي,0
95188,,أحمد بن علوان,"لوصــف فــيــه وصــف
وَحــرف فــيــه حــرف
وَحـــــوراء أَنـــــاة",العصر المملوكي,العصر العباسي,العصر العباسي,0
15980,هاج الشجون برهبى ربع أطلال,جرير,"هاجَ الشُجونَ بِرَهبى رَبعُ أَطلالِ
وَقَد مَضى مَرُّ أَحوالٍ وَأَحوالِ
بانَ الشَبابُ وَقالَ الغانِياتُ لَهُ",,العصر العباسي,العصر العباسي,0
75425,,الصنوبري,"يـومُ بـيـنٍ أَتـاحَ لي يومَ بوسِ
صـرتُ فـيه طوعاً لأَمْرِ النُّحوسِ
أحـمـدٌ بـانَ يـومَ بـانَ بـنفسي",العصر العباسي,العصر العباسي,العصر العباسي,1
66240,وجه تعدد في المرائي,عبد الغني النابلسي,"وجه تعدد في المرائي
وبه تحير كل رائي
والكائنات بأمره",العصر العثماني,العصر العباسي,العصر العباسي,0
188071,لن أفتح الأبواب,إبراهيم يحيى الديلمي,"باقٍ على قيد الثبوتْ
في الأرض شعباً لن يموتْ
لهباً تصاعد في المدى",,العصر الإسلامي,العصر الإسلامي,0
118099,,عمر حمد,"أي خـــطـــب دهـــى الورى والمـــا
بــفــوآد وافــعــم القــلب غــمــا
أي رزء عــلى النــفــوس عــظــيــم",العصر الحديث,العصر العباسي,العصر العباسي,0
155514,,مير علي أبو طبيخ,"أكبروه إن يمس في الصف قدما
فــلقـد حـل بـردتـيـه المـسـيـح
واخـضـعـوا قـانـتـين دون علاه",العصر الحديث,العصر العباسي,العصر العباسي,0
15569,خليفة الله الذي وعوده لا تخلف,سبط ابن التعاويذي,"خَليفَةَ اللَهِ الَّذي
وُعودُهُ لا تُخلَفُ
وَيا إِماماً أَعجَزَت",,العصر العباسي.,العصر العباسي,0
236235,حديقة الملك,عادل الياسري,"في الشجر المكتظّ
رفقته افترشوا مسطبة
عيناه جالتا المكان",,العصر العباسي,العصر العباسي,0
154289,,ابن الزيات,"شَـجـانـي صـائِحٌ يَـدعـو بِـبَـينٍ
وَأَرَّقَـنـي بُـكـاءُ البـاكِـيـيـنِ
وَنــاحَ الطّـائِرانِ فَهَـيَّجـانـي",العصر العباسي,العصر الأموي,العصر الأموي,0
254233,مرآة الزلاجة السوداء,أدونيس,"- هل قلتَ: وجهيَ مركبٌ، جسدي جزيرَهْ
والماء أعضاءٌ تحنُّ؟
- وقلتِ: صدركَ موجةٌ",,العصر العباسي,العصر العباسي,0
61790,ألا ترى ما أعطي الأمين,ابو نواس,"أَلا تَرى ما أُعطِيَ الأَمينُ
أُعطِيَ ما لَم تَرَهُ العُيونُ
وَلَم تَكُن تَبلُغُهُ الظُنونُ",العصر العباسي,العصر العباسي,العصر العباسي,1
135305,,صالح التميمي,"نــأى فــاســر القـلب نـاء وأزمـعـا
وبـانـت فـبـان الصـبـر مـنـي وودعا
تــلوّعـت طـفـلا فـي هـواهـا وقـامـا",العصر الحديث,العصر العباسي,العصر العباسي,0
