task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
more_descriptive,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,لله ما أعلق الهوى بي,0.06451612903225806,31,20,-11
more_descriptive,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ كظلّ النسيم على الزهر، ينزلق بهدوء وسكينة، كغزال في الحقول.,1.0,26,86,60
more_descriptive,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه لَيـلتـا إِذ صـاحِـبـايَ بـهَا,0.34210526315789475,38,36,-2
more_descriptive,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,يَلتَقِطُ بَلبلُ الغابِ قُوتَ يَومِهِ,0.1935483870967742,31,37,6
more_descriptive,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"""متى ستعرف كم أهواك يا منتي؟""

إليك محاولتي لإعادة صياغة البيت بشكل أكثر وصفًا وجمالًا:

""أهيم في عينيكِ وأشعر بنبض",0.0,1,115,114
more_descriptive,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,ما تركتُ اللقاءَ يومَ الفراقِ,1.0,29,29,0
more_descriptive,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

مَــا مَــوْقِــفِــي فِــي فَــيــدٍ كَــا مَــسْـكِــوفِ

مَــا مَــوْقِــفِــي فِــي بَــيَــنَ النَّـيْـرَـين",1.0,49,164,115
more_descriptive,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,عاينت حبك في أقصى مراحِلِهِ,0.9259259259259259,27,27,0
more_descriptive,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,1.0,33,33,0
more_descriptive,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,1.0,32,32,0
more_descriptive,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,لاحَ العذارُ كَنجمةٍ في سماءِ ليلةٍ مباركةٍ,0.34375,32,43,11
more_descriptive,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,"""لا إله إلا الله"" كأنّ الكون يردد صداها، ملء الأفق، كنشيد سماوي، بصوت ملائكي، يفيض بالإيمان واليقين، يتسامى فوق كل الأصوات، ويتردد في أعماق القلوب.",0.0967741935483871,31,147,116
more_descriptive,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,"فَيا رَبِّ إِنَّ البَينَ أَشدَدَت شُجُونُهُ

بهذا الشكل، يظهر البيت جمال اللغة العربية وقدرة التشبيه على توضيح المعاني بشكل أكثر وضوحًا وإشراقًا.",0.725,40,145,105
more_descriptive,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,ما إن يذاق الوصل إلا مع الأذى,0.14285714285714285,28,29,1
more_descriptive,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,"أبدى مقالًا كالشمس ساطعًا

البيت الأصلي:

أنا فيما أبديته من مقال

مثال على صورة بلاغية:
""كالشمس ساطعًا"" تعني أن المقال كان مشرقًا وواضحًا وجذابًا مثل الشمس.",0.17391304347826086,23,157,134
more_descriptive,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الهَوى والعَذابَ كَأْساً مُرَّةً زَهْرَاءَ في زَهْرِ الوَريدِ

بهذه الطريقة، تم تحويل معنى البيت الأصلي إلى صورة حسية حية أكثر قوة وجمالاً، مما يعزز تجربة القارئ.",0.4358974358974359,39,176,137
more_descriptive,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هل الهوى بين البشر -- بين البشر

أرجو أن يكون البيت المعاد صياغته قد نجح في إيصال الفكرة الأساسية.",0.06976744186046512,43,98,55
