task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
more_descriptive,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,تَخَنَّقَ فِي أُعْمَاقِ عَقْلِي حُبٌّ أَشْدَى مِنْ حَرِيقِ الْجَوْنِ، وَتَغَلَّغَ فِي نَفْسِي نَارٌ,0.06451612903225806,31,99,68
more_descriptive,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"تختطف النسيم الرقيق الروح، وتحلقها في رقصة سماوية، تاركةً وراءها جسدًا مشلولًا، غير قادر على اللحاق بجوهرها العطوف.
تختطف النسيم الرقيق الروح، وتحلقها في رقصة سماوية، تار",0.07692307692307693,26,170,144
more_descriptive,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"بالله، أشتهي ليلةٌ كنت فيها مع حبيبي، عندما كان صوته يملأ الجو بترقبٍ وحنين.
بالله، أشتهي ليلةٌ كنت فيها مع حبيبي، عندما كان صوته يملأ الجو بترقبٍ وحنين.
بالله، أشتهي ليلةٌ كنت",0.02631578947368421,38,176,138
more_descriptive,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"تُدغدغ ريشات البُلبل الدقيقة، اللمسة اللطيفة للشمس، حيث يلتقط رحيقًا حلوًا من الزهور، كنزًا من المتعة الحسية التي يغني عنها، في يوم مليء بالأغاني والضحك.
في ظلال المساء،",0.03225806451612903,31,169,138
more_descriptive,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"عندما تسقط الشمس خلف الأفق، وتغرق في اللون الذهبي،
يصبح السماء لوحة مرسومة بألوان برتقالية ووردية،
بين",0.0,1,102,101
more_descriptive,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"عندما ودعتُ الحبيبَ في ذلك اليومِ المأساويِ، تركتُ قلبيَ يترنحُ من الألمِ، يبحثُ عن العزاءِ في الذاكرةِ، يتوقُ إلى لقاءٍ آخر.
في يوم وداعه، كان قلبي محطمًا",0.0,29,155,126
more_descriptive,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,مُصْطَبَحٌ فِي غَرَابَةٍ مِنْ فَرَسَانَ وَجْرَانَةٍ مِنْ عَوَانَةِ الْبَشْرِ، أَعْوَى وَأَجْعَى وَأَحْزَنَ، مَوْقِفٌ ل,0.08163265306122448,49,118,69
more_descriptive,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"في أقصى مراحله، أذبلت قلبي، مثل وردة تذبل تحت أشعة الشمس الحارقة، بينما استنزفت حبي، مثل شمس الظهيرة التي تجفف الأرض.

أعد كتابة البيت بشكل أكثر وصفًا وجمالًا، في سطر واحد",0.037037037037037035,27,171,144
more_descriptive,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"الفخ الماكر يحيط بالفريسة،
يختبئ في الظلال، ويستعد للهجوم.
تتحرك الأطراف، ويزداد التوتر،
حتى يصبح التهديد فجأة حقيقيًا.
كل خطوة تقترب من الهاوية،
تتردد في الظلام",0.030303030303030304,33,161,128
more_descriptive,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"تتوهج بياضه مثل الياقوت، وتلمع كالألماس، وتلمع كاللؤلؤة في ضوء الشمس، مما يخلق إشعاعًا جذابًا يثير الدهشة والانبهار.

البيت الأصلي:
وَبَرْكَتُهُ ي",0.03125,32,146,114
more_descriptive,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,"تبع العذارى الليل الذي يحدد مصيره، حيث طارت حواسه في أجنحة الحواس.
تبع العذارى الليل الذي يحدد مصيره، حيث طارت حواسه في أجنحة الحواس.
تبع العذارى الليل الذي يحدد مصيره، حيث ط",0.0625,32,174,142
