task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
rephrase_clearer,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,لـلَّهِ ما أصعب الهوى بي!,0.22580645161290322,31,25,-6
rephrase_clearer,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,خاطف الروح يخطف الروح,0.3076923076923077,26,21,-5
rephrase_clearer,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"للَّهِ ليلتنا إذ صاحبانا بها

بهذا الشكل، نكون قد حافظنا على المعنى الأصلي وروح البيت الشعري، مع تبسيط الألفاظ.",0.21052631578947367,38,111,73
rephrase_clearer,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,البلبل يلتقط قوت يومه.,0.0,31,22,-9
rephrase_clearer,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"""أنت نموذج يعيد صياغة الشعر العربي بلغة أوضح.""",0.0,1,46,45
rephrase_clearer,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ

بهذا الشكل، سأتمكن من فهم المعنى بسهولة أكبر، مع الحفاظ على الجمال الشعري الأصلي.",1.0,29,112,83
rephrase_clearer,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,1.0,49,49,0
rephrase_clearer,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,عانيت حبك,0.3333333333333333,27,9,-18
rephrase_clearer,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,كادَ الفَخُّ يَعقِرُهُنَّ,0.06060606060606061,33,25,-8
rephrase_clearer,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"""ويرى البعض أن لونه لؤلؤي.""",0.0,32,27,-5
rephrase_clearer,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,"""ظهر العذار، فظننت ليلة القدر.""",0.34375,32,31,-1
rephrase_clearer,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,الله هو الإله الواحد، لا إله سواه.,0.06451612903225806,31,34,3
rephrase_clearer,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,يا ربِّ، إنَّ البَينَ يَقْطعُني كما تقْطَعُ السكينُ اللحمَ.,0.075,40,59,19
rephrase_clearer,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"الوصال مع الأذى:

أرجو أن تقوم بذلك، وسأكون سعيدًا بتقييم عملك!",0.07142857142857142,28,63,35
rephrase_clearer,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,"""أبديت رأيي بوضوح.""",0.0,23,19,-4
rephrase_clearer,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,قاسيتُ بكَ الغرامَ والوجدَ سنيناً,0.10256410256410256,39,33,-6
rephrase_clearer,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هل الحب بين البشر -- بين البشر

البيت بعد التبسيط:

هل الحب بين البشر -- بين البشر",0.06976744186046512,43,82,39
rephrase_clearer,74142,,أمين خير الله,ترى فردهم حينما وقفا,فردهم حينما وقفا,0.05,20,16,-4
rephrase_clearer,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,"نــح ذكــرى الهـوى وعــهــد الغــرام

بهذه الطريقة، يمكن للقارئ فهم البيت بسهولة.",0.6666666666666666,33,81,48
rephrase_clearer,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,"أجزلوا في لياليكم مع شرابكم

بهذا الأسلوب، يصبح البيت أكثر وضوحًا وسلاسة في الفهم، مع الحفاظ على روح الشعر.",0.1111111111111111,36,107,71
rephrase_clearer,89507,,طانيوس عبده,أوصــي بــكـل قـريـحـتـي لجـهـنـم,أوصي جهنم بكل قريحتي,0.18181818181818182,33,20,-13
