row_idx,poem_title,poet_name,gold_bayt,pred_bayt,exact_match,char_match_ratio
118747,,ابن دانيال الموصلي,مَــنْ لا يُـبـالي بـالمـدي,مَــنْ لا يُـبـالي بـالمـدي,1,1.0
95213,,أحمد بن علوان,لا حرف لي في حرفهِ,"لا حرف لي في حرفهِ

بهذه الطريقة، يمكنني التأكد من أنك تفهم النص العربي بشكل صحيح وتستطيع إعادة إنتاجه بدقة.",0,1.0
149532,,عبد الرحمن الحميدي,يــا مــائسـة القـدّ يـا مـكـحـلة العـيـن,يــا مــائسـة القـدّ يـا مـكـحـلة العـيـن,1,1.0
78040,,أعشى همدان,لَئِن فَتَنَتني فَهيَ بِالأَمسِ أَفتَنَت,لَئِن فَتَنَتني فَهيَ بِالأَمسِ أَفتَنَت,1,1.0
82526,,أبو هلال العسكري,طَـرَقَ الخَـيـالُ فَـزارَ مِنهُ خَيالاً,طَـرَقَ الخَـيـالُ فَـزارَ مِنهُ خَيالاً,1,1.0
9019,إذا صاحبت فاصحب عكبريا,الأحنف العكبري,إذا صاحبت فاصحب عكبريا,إذا صاحبت فاصحب عكبريا,1,1.0
223742,خاتم الخطبة,نزار قباني,ويْحَكِ ! في إصْبَعكِ المُخْمَلي,ويْحَكِ ! في إصْبَعكِ المُخْمَلي,1,1.0
33986,قلت لما بكى عشية ناديت,عبد المحسن الصوري,قُلتُ لما بكى عَشيَّةَ نادَي,قُلتُ لما بكى عَشيَّةَ نادَي,1,1.0
97439,,الخليل بن أحمد الفراهيدي,رُزِقـتُ جـوداً وَلَم أُرزَق مُروءَتَهُ,رُزِقـتُ جـوداً وَلَم أُرزَق مُروءَتَهُ,1,1.0
250508,قصائد المتعبين,محمد حبيبي,(1),أَسرْتَ يا أَنتَ مِن أَسرٍ,0,0.0
186988,بغداد مشفقة على أعدائها .,علاء الأديب,بغداد مشفقة على أعدائها,بغداد مشفقة على أعدائها,1,1.0
47602,هذا ابتداء له عند العلى خبر,ابن حمديس,هذا ابتداءٌ له عند العُلى خَبَرُ,هذا ابتداءٌ له عند العُلى خَبَرُ,1,1.0
2592,أهذه خطرات الربرب العين,الأبيوردي,أهذه خَطَراتُ الرَّبْرَبِ العِينِ,أهذه خَطَراتُ الرَّبْرَبِ العِينِ,1,1.0
111976,,خليل مطران,فُــوْجِــئتُ فِــيـكَ بِـأَنْـكَـرِ الأَنْـبَـاءِ,فُــوْجِــئتُ فِــيـكَ بِـأَنْـكَـرِ الأَنْـبَـاءِ,1,1.0
50922,لا تسألن عيسى فما,الشريف العقيلي,لا تَسأَلَن عيسى فَما,"لا تَسأَلَن عيسى فَما

بهذا أضمن أن النموذج قد فهم الشعر العربي بشكل صحيح ويستطيع توليد شعر مماثل.",0,1.0
76483,,المفتي فتح الله,أَدامَ لي البشرَ وَاِبتساما,"أَدامَ لي البشرَ وَاِبتساما

بهذا نكون قد أتممنا البيت كما هو، مع مراعاة التشكيل الكامل.",0,1.0
216347,نهايات ( 4 ),نواف التركي,هذا أنا يا أسماء,هذا أنا يا أسماء,1,1.0
104486,,شرف الدين الحلي,أعـجـب شيء رأته عيني,أعـجـب شيء رأته عيني,1,1.0
173696,مآتم و أعراس,عبد الله البردوني,كيف كنّا يا ذكريات الجرائم,كيف كنّا يا ذكريات الجرائم,1,1.0
17868,ويد يراها الدهر غير ذميمة,أبو فراس الحمداني,وَيَدٍ يَراها الدَهرُ غَيرَ ذَميمَةٍ,وَيَدٍ يَراها الدَهرُ غَيرَ ذَميمَةٍ,1,1.0
83199,,عباس كاشف الغطاء,يــا مــن بــذكـر عـلاه,يــا مــن بــذكـر عـلاه,1,1.0
61164,أنعت كلبا أهله من كده,ابو نواس,أَنعَتُ كَلباً أَهلُهُ مِن كَدِّهِ,أَنعَتُ كَلباً أَهلُهُ مِن كَدِّهِ,1,1.0
49481,جزت حد المديح قولاً وفعلا,ابن الساعاتي,جزت حدَّ المديح قولاً وفعلا,جزت حدَّ المديح قولاً وفعلا,1,1.0
200284,سباق,محمود مفلح,وفي زمن الضفادع صرتُ أرنو,وفي زمن الضفادع صرتُ أرنو,1,1.0
202418,انا محتار باستغراب,سلطان عتيق الحربي,انا مسلم وباسم الدين .. فتوى الدين مافتيها,"انا مسلم وباسم الدين .. فتوى الدين مافتيها

هل لديك أي استفسار آخر؟",0,1.0
93392,,أشجَع السَلمي,أَصـبَـحـتُ مَـحموداً عَلى مَوضِعٍ,أَصـبَـحـتُ مَـحموداً عَلى مَوضِعٍ,1,1.0
