task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
more_descriptive,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,للَّه ما أثقلَ الهوى بي,0.0967741935483871,31,23,-8
more_descriptive,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ، كأنه طيفٌ عابرٌ في ليلٍ حالكٍ، يسرق الأنفاس بلطفٍ دون أن يُسمع له صوت.,1.0,26,98,72
more_descriptive,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا

للَّه تلك الليلة، حين كان صاحباي يرافقاني، كأنهما نجمان في سماء صافية.",1.0,38,110,72
more_descriptive,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتَقِطُ البُلبلُ قُوتَ يَومِهِ

**إعادة الصياغة:**
يُغردُ البُلبلُ، يلتقطُ قوتَ يومِهِ من بينِ أوراقِ الزَهرِ، مُستمتِعاً بنسيمِ الصَّباحِ العليلِ.",0.12903225806451613,31,149,118
more_descriptive,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"""أرى فيك ما لا ترى العين، وأشعر بك ما لا يشعر به القلب.""

مثال على كيفية إعادة الصياغة:
""كأنك شمس تضيء دربي، وت",0.0,1,111,110
more_descriptive,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ

إليك محاولتي:
ما تركتُ اللقاءَ يومَ الفراقِ، كأنَّ الفراقَ شبحٌ أسودُ يجوبُ في الأفقِ، وأنا أطاردُه ببريقِ الأملِ في عينيَّ.",1.0,29,155,126
more_descriptive,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ كَــأَنَّهُنَّ زُهُوْرٌ بَـيَـنَ زُهُوْرٍ

بهذا الشكل، تم استخدام الصور البلاغية والتشبيهات لإضفاء جمال على البيت الشعري، مع الحفاظ على المعنى الأساسي.",1.0,49,201,152
more_descriptive,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"عانيت حبك في أقصى مراحِلِهِ  
كأنَّ روحي تُجرُّ من أعماقِ روحي",1.0,27,62,35
more_descriptive,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,قَد كادَ هَذا الفَخُّ أَن يَنقَضَّ عَلينا كَالطودِ العَظيمِ,0.8787878787878788,33,59,26
more_descriptive,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"""وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه
كأنَّ نُجومَ الليلِ تُعانِقُ بَدرَهُ""",0.0,32,71,39
more_descriptive,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,"لاحَ العذار فَخلت لَيلَة قَدْرِهِ

**مثال على إعادة الصياغة:**
لاحَ العذار كخيوط الفجر الأولى،

**مثال آخر:**
لاحَ العذار كزهور الربيع المتفتحة،

**مثال ثالث:**
لاحَ العذار كنجوم الليل اللام",0.875,32,190,158
more_descriptive,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,لا إله إلا الله,0.4838709677419355,31,15,-16
more_descriptive,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,فَيا رَبِّ إِنَّ البَينَ أَشَقَّ صُروفُهُ,0.675,40,41,1
more_descriptive,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"""أجمع بين الوصل والأذى في لحظةٍ واحدة، كأنني أغوص في بحرٍ من التناقضات.""",0.14285714285714285,28,72,44
more_descriptive,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,أنا في بحر الجمال غريقٌ,0.2608695652173913,23,23,0
more_descriptive,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,"قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ

قاسَيْتُ بِكَ الهَوى يَنْمُو كَأزهارٍ في رُوحي

قاسَيْتُ بِكَ الوَجْدَ يَنْمُو كَأزهارٍ في رُوحي

قاسَيْتُ بِكَ الهَوى ي",1.0,39,161,122
more_descriptive,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر

هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر

هــل الـهـوى بـيـن البـشـر -- ب",1.0,43,121,78
more_descriptive,74142,,أمين خير الله,ترى فردهم حينما وقفا,ترى وقوفهم حينما وقفا,0.2,20,21,1
more_descriptive,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,"نــح ذكــرى الهـوى وعــهــد الغــرام

بهذا الشكل، يكون البيت قد تم إعادة صياغته بطريقة أكثر وصفًا وجمالًا، مع الحفاظ على المعنى الأساسي.",0.6666666666666666,33,136,103
more_descriptive,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,"وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا

**مثال على إعادة الصياغة:**

وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا

**مثال آخر:**

وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا

**مثال ثالث:**",1.0,36,172,136
more_descriptive,89507,,طانيوس عبده,أوصــي بــكـل قـريـحـتـي لجـهـنـم,"أوصــي بــكـل قـريـحـتـي لجـهـنـم

أوصــي بــكـل قـريـحـتـي لجـهـنـم",1.0,33,68,35
more_descriptive,43248,إذا أن شارفت الديار تحدثت,أسامة بن منقذ,إذا أن شارفت الديار تحدثت,إذا أن شارفت الديار تحدثت,1.0,25,25,0
more_descriptive,53709,في الساحة الخالية,محمود درويش,ساحة خالية . ذباب وظهيرة وشجرة,ساحة خالية، ذباب يتراقص، وظهيرة تشتعل، وشجرة تصمت.,0.4,30,50,20
more_descriptive,62380,وكأن غلي دنانهم في دورهم,بشار بن برد,وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم,"وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم

وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم

وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم

وَكَأَنَّ غَليَ دِنانِهِم في دورِهِم",1.0,36,150,114
more_descriptive,152633,,ابن الحريش الأصفهاني,نـظـرنـا فـمـن قـلبٍ تـضـرم وقده,نظرتُ، فرأيتُ قلوبًا تتلظى وجباهًا تتصبب.,0.125,32,41,9
more_descriptive,125266,,علي الغراب الصفاقسي,لئن ظـهـرت بالجسم منك طوالعُ,"لئن ظـهـرت بالجسم منك طوالعُ

**إعادة الصياغة:**

**لئن ظـهـرت بالجسم منك طوالعُ**

**كأنَّ الشمس تشرق من جسدك**",1.0,28,112,84
more_descriptive,112522,,محمد صالح محيي الدين,أتــتــك تـهـادى بـاسـمـات ثـغـورهـا,"أتــتــك تـهـادى بـاسـمـات ثـغـورهـا

أتت إليك تتهادى، باسمات ثغورها، كأنها نهر من العسل يجري في بستان من الزهر.",1.0,36,112,76
more_descriptive,169724,هذه الموجة من هذا الخضم,إدريس محمد جماع,هذه الموجة من هذا الخضم,"هذه الموجة من هذا الخضم

إلى:

هذه الموجة من هذا الخضم، تعانق الأفق، كأنها تنساب من قلب البحر إلى حضن السماء.",1.0,23,109,86
more_descriptive,215180,شرديني,فائق عبد الجليل,شرديني ... اتبعيني,"شرديني ... اتبعيني

إليك محاولتي:
""شرديني في فضاء الخيال، واتبعيني عبر حدائق الكلمات.""",1.0,18,86,68
more_descriptive,72223,,صالح مجدي,هَــذا كـتـاب بِهِ فـي بـابـه كُـشـفـت,هَــذا كـتـاب كُـشـفـت فـي بـابـه سـرـورًا كـمـا كُـشـفـت فـي قـلبـي فـرحـةً.,0.47368421052631576,38,77,39
more_descriptive,240941,تَعليــق عَلى اتِّفاقِيــة,عبدالعزيز جويدة,"""غَزَّة .. أرِيحَا""","""غَزَّة .. أرِيحَا""

إليك محاولتي:
""غَزَّة .. أرِيحَا، كقصيدةٍ تبكي على وترِ الحزنِ""",1.0,19,84,65
more_descriptive,195556,بين الأحبة والبدر,محمد مهدي الجواهري,لئن شكر الصبح المحبون إنني,"لئن شكر الصبح المحبون إنني  
أشكر الليل الذي يضمّني إليه كعاشقٍ يهمس في أذن الفجر.",1.0,26,82,56
more_descriptive,228428,بَيْني وبَينكَ لمْ يَزَلْ مَدَدٌ,محمد إسماعيل سلامة,بَيْني وبَينكَ لَمْ يَزَلْ مَدَدٌ,"بَيْنَ رُمُوشِ الشَّمْسِ وَغُرُوبِ الشَّمْسِ

بهذا الشكل، نكون قد أضفنا صورة حسية بصرية، وجعلنا البيت أكثر جمالًا ووضوحًا.",0.21212121212121213,33,122,89
more_descriptive,172776,وجه القدر,أشرف الخضرى,مفتتح,"""مفتتح""",0.2,5,7,2
more_descriptive,118211,,ابن زقاعة,فإن كنت قد أصبحت في الحسن كعبة ,"فإن كنت قد أصبحت في الحسن كعبة  
ففيك الجمال الذي يأسر القلوب",1.0,31,61,30
more_descriptive,231923,وقف العتاة امام شعري فادعوا,ميخائيل خير الله ويردي,وَقَفَ العُتاةُ أَمامَ شِعري فَادَّعَوا,"وَقَفَ العُتاةُ أَمامَ شِعري كَأَنَّما

أرجو أن تكون قد استمتعت بهذا التمرين الأدبي!",0.7692307692307693,39,84,45
more_descriptive,127254,,علي بن حجر السعدي,أحـن إلى عـتـابـك غـيـر أني  ,"أحـن إلى عـتـابـك غـيـر أني  

أحن إلى عتابك، وكأنني  

أحن إلى صوتٍ يهمس في أذني،  

أحن إلى لمسةٍ تلامس قلبي،  

أحن إلى دفءٍ يملأ",1.0,29,132,103
more_descriptive,134090,,علاء الدين اليشكري,أحــــن شـــوقـــاً والنـــيـــاق رزَّمُ ,أحــــن شـــوقـــاً والنـــيـــاق رزَّمُ,0.975609756097561,41,40,-1
more_descriptive,140153,,صالح البدري,شـمـعتي شمعتي لك الفخر طبعا,شمعتي تضيء لك الفخر طبعا.,0.07407407407407407,27,25,-2
more_descriptive,19246,يا سيدي هنئت عيدا أتى,ابن نباته المصري,يا سيِّدي هنئتَ عيداً أتى,يا سيِّدي هنئتَ بعيدٍ بهيجٍ,0.68,25,27,2
more_descriptive,189030,هدوء الليل,هالة ادريس,هُدوءُ اللَّيْلِ يُنْكرُهُ حَنِينِي,هُدوءُ اللَّيْلِ يُنْكرُهُ حَنِينِي,1.0,35,35,0
more_descriptive,93314,,أشجَع السَلمي,وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلٌ,"وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلٌ

وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلٌ

وَلَيــسَ لِأَحــزانِ النِــســاءِ تَــطــاوُلٌ

وَلَيــسَ لِأَحــزانِ الن",1.0,47,172,125
more_descriptive,142247,,حمدون بن الحاج السلمي,كَم لِي أوَارِي فِي الهَوَى,"كَم لِي أوَارِي فِي الهَوَى

**إعادة الصياغة:**
كَم لِي أوَارِي فِي الهَوَى، كَأَنَّ قَلْبِي فِي غَيمَةٍ ثَقِيلَةٍ تَتَدَاعَى.",1.0,27,126,99
more_descriptive,78551,,الخطيب الحصكفي,حـاسِـرٌ بالليلِ حافِ,"حـاسِـرٌ بالليلِ حافِ

**مثال على إعادة الصياغة:**
حـاسِـرٌ بالليلِ حافِ، كـحـارسٍ صامتٍ في ظلمةِ الليلِ، يرقبُ النجومَ بصمتٍ.",1.0,21,126,105
more_descriptive,89651,,ابن رشيق القيرواني,وَمُكْتَحِلِ الجُفُونِ سَطا عَلَيْنا,"وَغَازِلٍ مُقْلَتَيْهِ كَأَنَّ نُجومًا

تتألق في سماء الليل، وتلقي بظلالها على الأرض.",0.16666666666666666,36,85,49
more_descriptive,182074,مستحي ( رباعيات مصر المحروسة ),جمال مرسي,مستحيل,"مستحيل

إليك محاولتي:
مستحيلٌ كأحلامٍ في ليلٍ حالك، بلا نجوم.",1.0,6,61,55
more_descriptive,135317,,صالح التميمي,كـل بـدعـواه فـيه ينتهي الجود,كل بـدعـواه فـيه ينتهي الجود,0.034482758620689655,29,28,-1
more_descriptive,66060,هذا الكثير الواحد,عبد الغني النابلسي,هذا الكثير الواحدُ,"هذا الكثير الواحدُ  
كأنه بحرٌ من النورِ  
يفيضُ في الأفقِ  

أو:

هذا الكثير الواحدُ  
كأنه شمسٌ مشرقةٌ  
تضيءُ الكونَ",1.0,18,119,101
more_descriptive,151683,,حنا الأسعد,بُليتُ بقاسي القلب لا يحفظ العهدا,بُليتُ بقاسي القلب، لا يحفظ العهد، كظلٍ زائلٍ في شمسٍ حارقة.,0.5454545454545454,33,60,27
