task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
more_descriptive,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,"في قلبي، يعلق الهوى، مثل نجم متلألئ في سماء الليل، يضيء الظلام بضوئه الساطع، ويجذبني إلى أعماق الحب، حيث يلتقي قلبي مع الله.

البيت الأصلي:
أنتِ الوردة التي تفتح في روحي",0.03225806451612903,31,169,138
more_descriptive,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"يخطف الروحَ من روحها خاطفٌ،
مثلما يسرق النسر فريسته من السماء.
يخطف الروحَ من روحها خاطفٌ،
مثلما يسرق النسر فريسته من السماء.
يخطف الروحَ من روحها خاط",1.0,26,150,124
more_descriptive,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"في لحظة من الهدوء، عندما كان رفيقي يهمس بأسراره، أستدعي الله أن يمنحنا ليلة مليئة بالسلام والهدوء.

البيت الأصلي:
وَأَسْكُنُ فِي مَكَانٍ مِنْ أَجْوَةِ ال",0.02631578947368421,38,153,115
more_descriptive,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يُغني البلبل أغنيةً حلوةً، ويُلتقطُ حبات الندى من الأوراق، ويُملأُ معدته بالرحيق، ويُستعدُّ لليوم.

البيت الأصلي:
تَجْرِي الْعَاصِفَ",0.03225806451612903,31,132,101
more_descriptive,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"،

البيت الأصلي:
،

أعد كتابة البيت بشكل أكثر وصفًا وجمالًا، في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنص",1.0,1,112,111
more_descriptive,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ،
كأنّي تركتُ قلبي في يدِهِ،
وَتَركتُ دمعي على خدِّهِ،
وَتَركتُ أملِي في عينيْهِ.

ما تركتُ",1.0,29,120,91
more_descriptive,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"في خضم بحر من العملات، أقف،
مثل شجرة وحيدة في غابة من الأوراق.
في خضم بحر من العملات، أقف،
مثل شجرة وحيدة في غابة من الأوراق.
في خضم بحر من العملات، أقف،
مثل شجرة وحيدة في غابة من الأوراق.
في خضم بحر من العملات، أقف،",0.02040816326530612,49,216,167
more_descriptive,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"في أعماق قلبي، اشتعلت نيران الحب،
تستهلكني بلهبها الشديد،
في أقصى مراحله، أذابني حبك.
في أعماق قلبي، اشتعلت نيران الحب،
تستهلكني بلهبها الش",0.0,27,139,112
more_descriptive,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"كان هذا الفخ على وشك أن يمسك به، وكان من الممكن أن يلتف حوله مثل شبكة العنكبوت، ويحبس حركاته، ويحرمه من حريته.

البيت الأصلي:
أَتَجَوَّلُ فِي الْبَحْرِ",0.030303030303030304,33,151,118
more_descriptive,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُهُ،
كَالْبَرَدِ الْمُتَجَمِّدِ فِي السَّمَاءِ،
يُنَثِرُ الْبَرَقُ عَلَيْه",1.0,32,104,72
