row_idx,question,sol1,sol2,sol3,sol4,gold_label_idx,pred_text,pred_label_idx,correct
12752,قرص صلب موحد يبدأ من السكون ويتدحرج بلا انزلاق على مسار مائل. بعد بعض الوقت، ما هو الجزء المئوي من الطاقة الحركية الإجمالية للقرص يتمثل في الطاقة الحركية الدورانية؟,1/4,1/3,1/2,2/3,1,ج,2,0
11383,ما هي الفرق بين التصالح والوساطة؟,يشير التصالح إلى استمرار الوساطة مع الاختلاف أن التصالح ينتج عنه نتيجة ملزمة، بينما لا يفعل الوساطة,يتم إجراء التصالح بصورة حصرية من قبل ممثلي الأمين العام للأمم المتحدة، في حين يمكن أن تُجرى الوساطة أيضاً من قبل مسؤولي الدول الثالثة,تتم عادة الوساطة من قبل شخص يتم تعيينه بموافقة الأطراف، في حين يتضمن التصالح لجنة، تقوم بفحص موضوعي للنزاع وتقترح شروط التسوية,التصالح هو طريقة لتسوية النزاع يتبعها فقط بموجب معاهدة، في حين يمكن أن تكون الوساطة أيضًا على أساس سببي,2,أ,0,0
5684,ما هو المشكلة المحتملة للسياسة في تمكين التفاعل بين الأكاديميين والسياسة المؤسسية؟,السياق التأديبي الرئيسي لتصورات دراسات الأمن هو الانتقال بعيدًا عن الهيمنة التأديبية للعلوم السياسية نحو التفاعل المتعدد للأكاديميات من علم الاجتماع والرياضيات وعلم النفس والعلوم الطبيعية والعلوم السياسية والاقتصاد.,أفضى التطور السياسي والأكاديمي إلى تعديل دور حاضنات الأفكار بعيدًا عن السياسة والتوجه نحو نظرية مقاومة التسييس.,"دراسات الأمن قد ميّزتها ""IR-ification"" التدريجية للتخصص. وأضحت دراسات الأمن واحدة من العمادتين الأساسيتين لعلاقات دولية (IR)، حيث أصبحت IR منذ ذلك الحين السياق التأديبي الرئيسي الذي ناقشت فيه دراسات الأمن.",حاضنات الأفكار وصناع القرار يتعلقان بشكل متزايد. فقد أدى الاندماج المؤسسي بين الجامعات وحاضنات الأفكار والسياسة إلى الاندماج السياسي على كل مستوى.,2,د,3,0
4439,كان المالك مالكًا لمنزل مكون من ثلاثة طوابق ويؤجره لصديقه لمدة 10 سنوات. طبقًا لشروط الإيجار ، أقسم الصديق صراحة بدفع 300 دولار كإيجار شهري ودفع ضرائب الأراضي خلال فترة الإيجار. كما تضمن الإيجار أيضًا أن الصديق ، كمستأجر ، لا يمكن أن ينازل أو يؤجر الأماكن المذكورة. عاش الصديق وأسرته في المنزل لمدة عامين. ثم ، وما زال الصديق مدينًا للمالك بثلاثة أشهر إيجار متأخر ، حول حقه في الإيجار إلى أستاذ ، الذي لم يكن على علم بالمنع بشأن النقل. تضمن هذا النقل الكتابي صراحة أن يدفع الأستاذ للمالك الإيجار الشهري ولكنه لم يتحدث عن دفع الضرائب. ولم يعترض المالك على هذا النقل. بعد ستة أشهر من النقل ، قدم المالك حقوقه في الممتلكات إلى مالك جديد. بعد الإقامة في المنزل لمدة عام ، أجرى الأستاذ طابقًا ثالثًا لطالب لمدة عامين ؛ نص الاتفاق على أن يتلقى الأستاذ دفعة إيجار شهري بقيمة 100 دولار. بعد أن دفع الطالب دفعات إيجارية منتظمة للأستاذ للأشهر الستة الأولى من الإيجار الفرعي ، تخلف. في الشهر التالي ، أرسل الأستاذ مبلغ 200 دولار كدفعة إيجار إلى المالك الجديد ، وأبلغه أنه يجب عليه تحصيل الـ 100 دولار المتبقية من الطالب الذي رفض مغادرة الممتلكات. في دعوى المالك الجديد ضد الطالب لاسترداد 100 دولار إضافية من الإيجار المستحق ، فمن المرجح جدًا أن يفعل ذلك,يسترد ، لأن المالك والمستأجر الفرعي في علاقة قرابة العقار.,يسترد ، حتى لو لم يعترض على الإيجار الفرعي.,لا يسترد ، لأن الأستاذ سيكون المسؤول الوحيد.,لا يسترد ، لأن الأستاذ لا يزال مسؤولًا.,3,ب,1,0
10980,تحاول نظرية التطور الاجتماعي لفيجوتسكي وصف التفاعل بين الوظيفة العقلية التي يولد بها الأطفال وكيف يطورونها إلى ما يمتلكونه كبالغين. أحد المكونات الهامة في هذا الصدد هو منطقة التطوير القريب. أي من العبارات التالية يصف بدقة فردًا في منطقة التطوير القريب؟,يلعب لاعب البيسبول بالكرات من على حامل لتطوير ذاكرة العضلات.,يتعثر عازف الفلوت الكونسرتو في إتمام قطعة موسيقية بها نهاية معقدة بدون أخطاء.,يقدم طالب اللغة الإنجليزية في المدرسة الثانوية ورقة لمراجعتها من قبل أستاذه.,تتلقى الغطاسة العالية الارشاد من مدربها لتحسين تمثيلها لحركة محددة.,3,د,3,1
7742,يحافظ الجهاز الغدد الصماء على التوازن الذاتي باستخدام ميكانيكيات ردود الفعل المتعددة. أي من التالي هو مثال على التغذية الراجعة الإيجابية؟,رضاعة الرضع تجعل دماغ الأم يفرز الأوكسيتوسين ، الذي يحفز إنتاج الحليب.,انزيم مثبط تألستيريكياً بواسطة منتج الردة الذي يساعد عليه.,عندما يكون ال ATP وافرًا ينخفض معدل التحلل السكري.,عندما تنخفض مستويات السكر في الدم إلى طبيعي بعد الوجبة ، لم يعد الإنسولين يفرز.,0,أ,0,1
7168,كاروذرز يؤكد انه، على أسس من العقدية، يمكن ان يتم تمنيح الحيوانات غير البشرية اياً من الأنواع التالية من الموقف الأخلاقي؟,مباشر,غير مباشر,شبه-,لا شيء من ما سبق,1,ب,1,1
8532,في رأي مابل ديفيز، كيف تؤيد العبارة التالية؟,يبدو أن الوقت يسرع عندما تكبر في العمر,ممارسة التمارين تبقي عقلك حادًا,النساء أكثر قوة من الرجال,يجب تجنب النظارات وأجهزة الاستماع,0,أ,0,1
8755,"الـ __________ هي إطار ________, __________ يتجاوز الوظائف الخطية والعمليات والمعاملات لإنتاج مادة أو منتج معين",سلسلة التوريد الدولية، ثابتة، غير متصلة,الشبكة الإنتاجية العالمية، ديناميكية، ذات علاقات,سلسلة التوريد الدولية، ديناميكية، غير متصلة,الشبكة الإنتاجية العالمية، ثابتة، ذات علاقات,1,ب,1,1
4453,العثور على قيمة $x$، مع الأخذ بعين الاعتبار أن \[\dfrac{\sqrt{x}}{x\sqrt{3}+\sqrt{2}} = \dfrac{1}{2x\sqrt{6}+4}.\],\frac{3}{4},\frac{1}{4},\frac{1}{2},\frac{1}{8},3,ج,2,0
