task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
improve_style,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,للَّه ما أعلق الهوى بي,0.03225806451612903,31,22,-9
improve_style,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ,1.0,26,26,0
improve_style,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه ليلتنا إذ صاحبانا بها,0.18421052631578946,38,27,-11
improve_style,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,يَلتَقِطُ بَلبلُنا قُوتَ يَومِهِ,0.12903225806451613,31,32,1
improve_style,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"""أعطني نسخة محسَّنة من البيت، مكتوبة في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنصيص:

""أعطني نسخة محسَّنة من البيت،",0.0,1,122,121
improve_style,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,ما تركتُ اللقاءَ يومَ الفراقِ,1.0,29,29,0
improve_style,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,0.2857142857142857,49,43,-6
improve_style,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,عانيت حبك في أقصى مراحله,0.8148148148148148,27,24,-3
improve_style,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,قَد كادَ هَذا الفَخُّ أَن يَعقِرَا,0.9696969696969697,33,34,1
improve_style,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

تحسين:
وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

تحسين:
وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

تحسين:
وأبيضَ بِل",1.0,32,133,101
improve_style,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,لاحَ العذارُ فخلتُ ليلةَ قدرِهِ,0.5625,32,31,-1
improve_style,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,لا إله إلا الله,0.4838709677419355,31,15,-16
improve_style,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,فَيَا رَبِّ إِنَّ البَينَ أَنهَكَ صُروفُهُ,0.1,40,42,2
improve_style,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,ماذا لو اجتمعا الوصال والأذى,0.5357142857142857,28,28,0
improve_style,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,أنا في إبداء المقال,0.2608695652173913,23,19,-4
improve_style,68990,قاسيت بك الغرام والوجد سنين,الشاب الظريف,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينْ,قاسَيْتُ بِكَ الغَرامَ والوَجْدَ سِنينًا,0.9743589743589743,39,40,1
improve_style,203971,هل الهوى,فيصل بن منصور الرياحي,هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر,"هــل الـهـوى بـيـن البـشـر -- بـيـن البـشـر

البيت بعد التحسين:
هل الهوى بين البشر -- بين البشر

أرجو أن يكون هذا التحسين مناسبًا.",1.0,43,130,87
improve_style,74142,,أمين خير الله,ترى فردهم حينما وقفا,فردهم حينما وقفا,0.05,20,16,-4
improve_style,140157,,صالح البدري,نــح ذكــرى الهـوى وعـهـد الغـرام,نــح ذكــرى الهـوى وعــهــد الغــرام,0.6666666666666666,33,36,3
improve_style,54768,وليل تعاطينا المدام وبيننا,ابن خفاجه,وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا,"وَلَيلٍ تَعاطَينا المُدامَ وَبَينَنا

شكرًا لك، وأنا بانتظار تحسيناتك.",1.0,36,70,34
