task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
more_sad,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,لِلَّه ما أثقلَ الهوى بي,0.25806451612903225,31,24,-7
more_sad,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,يخطف الروحَ من روحها خاطفٌ,1.0,26,26,0
more_sad,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,1.0,38,38,0
more_sad,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتَقِطُ البُلبلُ قُوتَ يَومِهِ

إلى أن غابَ في ظِلِّ الغُروبِ

مأسورًا بالحُزنِ العميقِ",0.12903225806451613,31,89,58
more_sad,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,،,1.0,1,1,0
more_sad,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ في يومِ الفراقِ،

ما تركتُ اللقاءَ في يومِ الفراقِ،

ما تركتُ اللقاءَ في يومِ الفراقِ،

ما تركتُ اللقاءَ في يومِ الفراقِ،

ما تركتُ اللقاءَ في يومِ الفراقِ،

ما تركتُ اللقاءَ في يومِ",0.5862068965517241,29,199,170
more_sad,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ

مَــا مَ",1.0,49,161,112
more_sad,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"عانيت حبك في أقصى مراحِلِهِ

أعانيت حبك في أقصى مراحِلِهِ

أعانيت حبك في أقصى مراحِلِهِ

أعانيت حبك في أقصى مراحِلِهِ

أعانيت حبك في أقصى مراحِلِهِ

أعانيت حبك في أقصى مرا",1.0,27,171,144
more_sad,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قَد كادَ هَذا الفَخُّ أَن يَفجُرَ صَدري

ملاحظة: هذا البيت الجديد قد لا يكون مطابقًا تمامًا للبيت الأصلي من حيث المعنى، لكنه يعبر عن الحزن والوجع بشكل أوضح.",0.8787878787878788,33,156,123
more_sad,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

أبيضَ بِلَّورِىِ لَوَنٍ تَخالُه

مُمَزَّقًا قَلْبِىِ مِن فَرْطِ التَّحَسُّرِ

مُمَزَّقًا قَلْبِىِ مِن فَرْط",1.0,32,141,109
more_sad,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,"لاحَ العذارُ فخلتُ ليلةَ قدرِهِ

أرجو أن يكون هذا البيت قد حقق المطلوب.",0.5625,32,71,39
more_sad,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,لا إله إلا الله,0.4838709677419355,31,15,-16
more_sad,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,فَيا رَبِّ إِنَّ البَينَ أَشْقَت صُروفُهُ,0.675,40,41,1
more_sad,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"""ماذا لو كان الوصال مع الأذى""",0.5714285714285714,28,29,1
more_sad,32193,أنا فيما أبديته من مقال,جميل صدقي الزهاوي,أنا فيما أبديته من مقال,أنا في ما أبديته من مقال,0.2608695652173913,23,24,1
