row_idx,poem_title,poet_name,poem_text_snippet,gold_label,pred_text,pred_label,correct
220636,أيا من عشت طول العمر جافي,قريب الله بن أبي صالح,"أيا من عشت طول العمر جافي
أما آن الأوان إلى التصافي
ومن لك بالتجرد عن سواه",,"قصيدة عتاب.

المقطع:
ألا يا صاحبي",قصيدة عتاب,0
16834,وأدن إلى ربان هوجا كأنها,الكميت بن زيد,"وأدْنِ إلى رَبَّان هُوجاً كأنها
بحَوْصَلَ أو من وحش نَيَّانَ ربربُ",قصيدة قصيره,"قصيدة هجاء.

المقطع:
أَلا لِل",قصيدة هجاء,0
236204,دع ذكر أيام الشباب الراحل,ابن شهاب,"دع ذكر أيام الشباب الراحل
وحديث لابسة الحلى والعاطل
وانبذ بقية ما بقلبك من هوى",,"قصيدة حزينه.

المقطع:
ألا يا ليل",قصيدة حزينه,0
96092,,سليمان الصولة,"مـا للمـناطق في السبوت تذوب
أفـم الحـصور من الخصور قريب
واسي المحب فإن تنفس لم يدم",,"قصيدة حزينه.

المقطع:
ألا يا ليل",قصيدة حزينه,0
132084,,بابه بن أحمد بيبه العلوي,"يــا خــليــلي عــرّجـا بـالقـبـاب
واســألا عـن مـعـاهـد الأحـبـاب
وإلى جــــانــــب الأضـــيّـــة دورٌ",,"قصيدة رومنسيه.

المقطع:
ألا يا ص",قصيدة رومنسيه,0
206255,غدينا بالمتاهه ..!,صالح بن عمار,"جيت كلي معتلي شمس الرحيل.
ومن عنا وقتي غدينا بالمتاهه.
هدهد غْيابه بجنحانـه  مقيـل.",,"قصيدة فراق.

المقطع:
أنتِ من أضاء",قصيدة فراق,0
113110,,الأحوص الأنصاري,"وَمَــولىً سَــخــيـفِ الرَأيِ رِخـوٍ تَـزيـدُهُ
أَنــاتــي وَعَــفــوي جَهـلَهُ عِـنـدَهُ ذَمّـا
دَمَــــلتُ وَلَولا غَــــيــــرُهُ لأَصَـــبـــتُهُ",,"قصيدة ذم.

المقطع:
وَأَنْت",قصيدة ذم,0
61088,يا واضعا بيض القطا,ابو نواس,"يا واضِعاً بَيضَ القَطا
تَحتَ الزَمامِجِ لِلفِراخِ
لَو أَيقَنَت ما تَحتَها",قصيدة قصيره,"قصيدة حزينه.

المقطع:
أَلا لِل",قصيدة حزينه,0
56014,أكان يزيد بأسك إذ تصاب,أحمد محرم,"أكان يَزيدُ بأسُكَ إذ تُصابُ
زِيادةُ ذلك العجبُ العُجابُ
تَكاثرتِ الجراحُ وأنت صُلْبٌ",قصيدة عامه,"قصيدة رثاء.

المقطع:
ألا يا ليل",قصيدة رثاء,0
254407,مرآة للعين وللزمن,أدونيس,"غَنّيتُ ، قلتُ لأيامي: رفعتُ دمي
مدائناً تَلِدُ الإيقاعَ قلتُ لها
مددْتهُ غُصُناً يشتاقُ، يحملني",,"قصيدة شوق.

المقطع:
أنتِ التي أُ",قصيدة شوق,0
