task_key,row_idx,poem_title,poet_name,input_bayt,output_bayt,char_overlap_with_input,input_len_chars,output_len_chars,delta_len_chars
correct_errors,127884,,خليل ناصيف اليازجي,لِلَّه مــاأَعــلَقَ الهـوى بـي,"لِلَّه مَا أَعْلَقَ الْهَوَى بِي

البيت الأصلي (قد يحتوي أخطاء):
أَتَجَوَّلُ فِي الْحَيَاةِ كَالْحَيَوَانِ

اكتب البيت بعد",0.41935483870967744,31,122,91
correct_errors,190433, آخر الرؤيا,حلمي سالم,يخطف الروحَ من روحها خاطفٌ,"يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
يخطف الروحَ من روحها خاطفٌ
ي",1.0,26,136,110
correct_errors,145196,,ابن منير الطرابلسي,للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا,"للَّه لِيـلتـنـا إِذ صـاحِـبـايَ بـهـا

البيت الأصلي (قد يحتوي أخطاء):
أَتَجَوَّلُ فِي الْأَرْضِ وَأَتَجَوَّلُ فِي الْبَ",1.0,38,120,82
correct_errors,58099,أمثولة الكائنات,احمد مطر,يَلتقِطُ البُلبلُ قُوتَ يَومِهِ,"يَلتَقِطُ البُلْبُلُ قُوتَ يَوْمِهِ

البيت الأصلي (قد يحتوي أخطاء):
أَحْبُّكَ حَبّاً لَنْ يَزُولَ

اكتب البيت بعد التصحيح،",0.1935483870967742,31,122,91
correct_errors,222551,وجعٌ على شرفةِ غيابكَ,عباس علي العسكر,،,"،

البيت المصحح:
،

البيت الأصلي (قد يحتوي أخطاء):
أنتِ من أين أتيتِ يا حبيبتي؟
أ",1.0,1,81,80
correct_errors,11418,ما تركت اللقاء يوم الفراق,الخبز أرزي,ما تركتُ اللقاءَ يومَ الفراقِ,"ما تركتُ اللقاءَ يومَ الفراقِ.

البيت الأصلي (قد يحتوي أخطاء):
أنتِ من أين أتيتِ يا حبيبتي

اكتب البيت بعد التصحيح، في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنصيص:",1.0,29,170,141
correct_errors,111653,,خليل مطران,مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ,"مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــفِــي فِــي مَــصْـرِفٍ لِلمَـالِ
مَــا مَــوْقِــف",1.0,49,117,68
correct_errors,217081,عانيتُ حبَّكِ,خالد مصباح مظلوم,عانيت حبك في أقصى مراحِلِهِ,"عانيت حبك في أقصى مراحلهِ

البيت الأصلي (قد يحتوي أخطاء):
أنتِ من أهديتني الحبّ، وأنتِ من أهديتني الألم

اكتب البيت بعد التصحيح، في سطر واحد فقط، بدون أي تعليق أو شرح",0.8518518518518519,27,166,139
correct_errors,61330,قد كاد هذا الفخ أن يعقرا,ابو نواس,قَد كادَ هَذا الفَخُّ أَن يَعقِرا,"قد كاد هذا الفخ أن يعقرا
قد كاد هذا الفخ أن يعقرا
قد كاد هذا الفخ أن يعقرا
قد كاد هذا الفخ أن يعقرا
قد كاد هذا الفخ أن يعقرا
قد كاد هذا الفخ أن يعقرا
قد كاد هذا الفخ أن",0.030303030303030304,33,168,135
correct_errors,59185,وأبيض بلورى لون تخاله,شاعر الحمراء,وأبيضَ بِلَّورِىِ لَوَنٍ تَخالُه,"وأبيضَ بِلَّورِىِ لَوْنٍ تَخالُهُ

البيت الأصلي (قد يحتوي أخطاء):
وَأَحْمَرَةٌ مِنْ أَحْمَرِ الْحَمْرِ

اكتب البيت بعد التصحيح، في",0.96875,32,130,98
correct_errors,31236,لاح العذار فخلت ليلة قدره,عمر الأنسي,لاحَ العذار فَخلت لَيلَة قَدرِهِ,"لاحَ العذار فَخلت لَيلَة قَدْرِهِ

البيت الأصلي (قد يحتوي أخطاء):
أَحْبُّكَ حَبّاً لَنْ يَزولَ أَبَدًا

اكتب البيت بعد التصحيح، في سطر واحد",0.875,32,139,107
correct_errors,220646,ان يوم الحج  عيد,قريب الله بن أبي صالح,لا إله إلا الله لا إله إلا الله,"لا إله إلا الله لا إله إلا الله.
لا إله إلا الله لا إله إلا الله.
لا إله إلا الله لا إله إلا الله.
لا إله إلا الله لا إله إلا الله.
لا إله إلا الله لا إله إلا الله.
لا إله إلا الله لا إله إلا الله.",1.0,31,197,166
correct_errors,33490,فيا رب إن البين أنحت صروفه,القاضي الفاضل,فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ,"فَيا رَبِّ إِنَّ البَينَ أَنحَت صُروفُهُ
البيت الأصلي (قد يحتوي أخطاء):
وَأَحْبَسَتْهُ بِالْحَجْرِ وَالْحَجْرِ

اكتب البيت بعد التصحيح، في",1.0,40,138,98
correct_errors,168749,كورونا,هناء محمد,ماذا لو اتفق الوصال مع الأذى,"ماذا لو اتفق الوصال مع الأذى؟

البيت الأصلي (قد يحتوي أخطاء):
أنتِ من أضرمت النار في قلبي

اكتب البيت بعد التصحيح، في سطر واحد فقط، بدون أي تعليق أو شرح أو علامات تنصيص:
أنت",1.0,28,173,145
